age,variable,sex,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085,y2086,y2087,y2088,y2089,y2090,y2091,y2092,y2093,y2094,y2095,y2096,y2097,y2098,y2099,y2100,y2101,y2102,y2103
0,mortality,female,0.00907656,0.00875963,0.00842784,0.00812622,0.00782382,0.00756039,0.00728473,0.00702377,0.00680138,0.00658843,0.00638746,0.00617709,0.00599019,0.0058204,0.00569852,0.00558396,0.00546161,0.00535624,0.00525041,0.00514748,0.005054,0.00496096,0.00486574,0.00479024,0.00470468,0.00462206,0.0045355,0.00445955,0.00437962,0.00430785,0.00423495,0.00416616,0.00410088,0.0040392,0.00397689,0.0039212,0.00385898,0.0037972,0.00374244,0.00369112,0.00364224,0.00359312,0.00355042,0.00350646,0.00345935,0.00342504,0.00338594,0.00334248,0.00329881,0.00325561,0.00322383,0.00319282,0.00315368,0.00312153,0.00308317,0.00305346,0.00302394,0.00299587,0.00296097,0.00293319,0.00290279,0.00287789,0.00284553,0.00281878,0.00279115,0.00276377,0.00273069,0.00270429,0.0026787,0.0026541,0.00263109,0.00259994,0.0025769,0.00255523,0.00253382,0.00251487,0.00249453,,,
1,mortality,female,0.00077283,0.00074794,0.00072205,0.00069824,0.00067437,0.00065321,0.00063118,0.00061028,0.00059215,0.00057472,0.0005582,0.00054101,0.00052549,0.00051066,0.00049932,0.00048863,0.00047731,0.00046746,0.00045757,0.00044796,0.00043906,0.00043035,0.00042147,0.00041417,0.00040617,0.00039845,0.00039041,0.00038315,0.00037574,0.00036907,0.00036205,0.00035546,0.0003492,0.00034313,0.00033716,0.00033164,0.00032572,0.00031983,0.00031444,0.00030951,0.00030467,0.00029997,0.00029569,0.00029132,0.00028685,0.00028337,0.00027947,0.00027542,0.00027114,0.00026713,0.00026386,0.00026072,0.00025701,0.00025377,0.00025013,0.00024717,0.00024421,0.00024138,0.00023814,0.00023538,0.00023242,0.00022997,0.00022702,0.00022441,0.00022171,0.00021913,0.00021616,0.00021366,0.00021123,0.00020894,0.00020676,0.00020399,0.00020174,0.00019961,0.00019753,0.00019564,0.00019367,,,
2,mortality,female,0.00056438,0.0005471,0.00052911,0.00051253,0.0004959,0.0004811,0.00046569,0.00045104,0.00043832,0.00042606,0.00041443,0.00040233,0.00039135,0.00038077,0.00037258,0.00036487,0.00035669,0.00034956,0.0003424,0.00033543,0.00032899,0.00032266,0.00031622,0.00031092,0.00030509,0.00029946,0.00029359,0.0002883,0.00028286,0.00027797,0.00027285,0.00026802,0.00026343,0.00025899,0.0002546,0.00025055,0.00024618,0.00024184,0.00023787,0.00023422,0.00023065,0.00022716,0.000224,0.00022076,0.00021744,0.00021486,0.00021196,0.00020892,0.00020574,0.00020273,0.0002003,0.00019795,0.00019517,0.00019276,0.00019003,0.00018781,0.00018559,0.00018347,0.00018103,0.00017895,0.00017672,0.00017487,0.00017263,0.00017066,0.00016862,0.00016667,0.00016441,0.00016251,0.00016066,0.00015892,0.00015725,0.00015514,0.00015343,0.00015182,0.00015023,0.00014879,0.00014729,,,
3,mortality,female,0.00041695,0.00040484,0.00039222,0.00038057,0.00036886,0.0003584,0.00034752,0.00033715,0.00032813,0.00031942,0.00031115,0.00030254,0.00029469,0.00028706,0.00028107,0.00027543,0.00026945,0.00026423,0.00025897,0.00025385,0.00024913,0.00024447,0.00023974,0.00023584,0.00023154,0.00022738,0.00022304,0.00021913,0.00021509,0.00021146,0.00020767,0.00020409,0.00020068,0.00019738,0.00019411,0.00019111,0.00018784,0.0001846,0.00018164,0.00017891,0.00017623,0.00017362,0.00017125,0.00016882,0.00016631,0.00016437,0.00016219,0.00015989,0.00015749,0.0001552,0.00015337,0.0001516,0.00014949,0.00014766,0.00014559,0.0001439,0.00014222,0.00014061,0.00013875,0.00013716,0.00013547,0.00013405,0.00013234,0.00013083,0.00012927,0.00012777,0.00012603,0.00012457,0.00012316,0.00012181,0.00012053,0.0001189,0.00011759,0.00011635,0.00011512,0.00011402,0.00011286,,,
4,mortality,female,0.00031565,0.00030695,0.00029788,0.00028949,0.00028104,0.00027347,0.00026558,0.00025806,0.0002515,0.00024515,0.00023912,0.00023285,0.00022709,0.00022143,0.00021693,0.00021269,0.00020819,0.00020426,0.00020029,0.00019642,0.00019286,0.00018934,0.00018576,0.00018281,0.00017954,0.00017638,0.00017309,0.00017011,0.00016703,0.00016426,0.00016138,0.00015864,0.00015603,0.00015352,0.00015101,0.00014872,0.00014621,0.00014372,0.00014145,0.00013935,0.00013729,0.00013527,0.00013345,0.00013158,0.00012963,0.00012813,0.00012644,0.00012465,0.00012279,0.00012101,0.0001196,0.00011822,0.00011658,0.00011516,0.00011354,0.00011223,0.00011092,0.00010966,0.0001082,0.00010697,0.00010564,0.00010453,0.00010318,0.000102,0.00010078,9.96e-05,9.824e-05,9.709e-05,9.597e-05,9.491e-05,9.39e-05,9.262e-05,9.158e-05,9.061e-05,8.964e-05,8.877e-05,8.785e-05,,,
5,mortality,female,0.00024668,0.00024022,0.00023349,0.00022725,0.00022095,0.00021528,0.00020939,0.00020375,0.00019882,0.00019404,0.00018949,0.00018476,0.0001804,0.00017605,0.00017254,0.00016924,0.00016573,0.00016266,0.00015956,0.00015653,0.00015374,0.00015098,0.00014818,0.00014586,0.00014329,0.0001408,0.00013821,0.00013586,0.00013343,0.00013123,0.00012896,0.0001268,0.00012474,0.00012274,0.00012076,0.00011894,0.00011695,0.00011497,0.00011317,0.00011149,0.00010985,0.00010824,0.00010678,0.00010529,0.00010374,0.00010253,0.00010118,9.974e-05,9.825e-05,9.682e-05,9.568e-05,9.457e-05,9.325e-05,9.211e-05,9.081e-05,8.976e-05,8.87e-05,8.768e-05,8.651e-05,8.551e-05,8.444e-05,8.354e-05,8.245e-05,8.149e-05,8.05e-05,7.955e-05,7.844e-05,7.751e-05,7.661e-05,7.574e-05,7.492e-05,7.388e-05,7.304e-05,7.225e-05,7.146e-05,7.075e-05,7.001e-05,,,
6,mortality,female,0.00020333,0.00019819,0.00019285,0.00018787,0.00018285,0.00017831,0.00017359,0.00016907,0.00016511,0.00016125,0.00015759,0.00015378,0.00015024,0.0001467,0.00014379,0.00014105,0.00013814,0.00013559,0.00013302,0.0001305,0.00012818,0.00012588,0.00012355,0.0001216,0.00011946,0.00011738,0.00011522,0.00011326,0.00011122,0.00010938,0.00010748,0.00010567,0.00010394,0.00010227,0.0001006,9.907e-05,9.74e-05,9.575e-05,9.422e-05,9.282e-05,9.144e-05,9.008e-05,8.885e-05,8.758e-05,8.627e-05,8.525e-05,8.411e-05,8.29e-05,8.164e-05,8.043e-05,7.946e-05,7.852e-05,7.741e-05,7.644e-05,7.534e-05,7.444e-05,7.354e-05,7.268e-05,7.169e-05,7.084e-05,6.993e-05,6.916e-05,6.824e-05,6.743e-05,6.659e-05,6.578e-05,6.484e-05,6.405e-05,6.328e-05,6.255e-05,6.185e-05,6.097e-05,6.026e-05,5.958e-05,5.892e-05,5.831e-05,5.768e-05,,,
7,mortality,female,0.00018121,0.00017674,0.00017209,0.00016774,0.00016336,0.00015938,0.00015524,0.00015128,0.00014779,0.00014439,0.00014115,0.00013779,0.00013466,0.00013149,0.00012884,0.00012635,0.00012371,0.00012138,0.00011903,0.00011673,0.00011461,0.00011251,0.00011038,0.0001086,0.00010663,0.00010473,0.00010276,0.00010096,9.909e-05,9.741e-05,9.566e-05,9.4e-05,9.242e-05,9.088e-05,8.936e-05,8.794e-05,8.641e-05,8.49e-05,8.35e-05,8.221e-05,8.093e-05,7.969e-05,7.855e-05,7.738e-05,7.618e-05,7.524e-05,7.418e-05,7.307e-05,7.191e-05,7.081e-05,6.991e-05,6.904e-05,6.802e-05,6.712e-05,6.612e-05,6.529e-05,6.446e-05,6.366e-05,6.275e-05,6.196e-05,6.113e-05,6.042e-05,5.958e-05,5.883e-05,5.806e-05,5.732e-05,5.647e-05,5.574e-05,5.504e-05,5.437e-05,5.372e-05,5.293e-05,5.228e-05,5.166e-05,5.105e-05,5.049e-05,4.991e-05,,,
8,mortality,female,0.00017511,0.00017083,0.0001664,0.00016224,0.00015805,0.00015422,0.00015026,0.00014646,0.00014308,0.0001398,0.00013666,0.00013342,0.00013037,0.00012727,0.00012463,0.00012213,0.0001195,0.00011718,0.00011483,0.00011253,0.0001104,0.00010829,0.00010617,0.00010436,0.0001024,0.0001005,9.852e-05,9.671e-05,9.485e-05,9.317e-05,9.141e-05,8.975e-05,8.816e-05,8.661e-05,8.508e-05,8.365e-05,8.213e-05,8.062e-05,7.92e-05,7.791e-05,7.663e-05,7.539e-05,7.423e-05,7.306e-05,7.186e-05,7.09e-05,6.984e-05,6.874e-05,6.758e-05,6.649e-05,6.557e-05,6.469e-05,6.368e-05,6.277e-05,6.178e-05,6.094e-05,6.01e-05,5.929e-05,5.84e-05,5.761e-05,5.677e-05,5.606e-05,5.524e-05,5.449e-05,5.371e-05,5.298e-05,5.215e-05,5.143e-05,5.073e-05,5.007e-05,4.943e-05,4.866e-05,4.801e-05,4.739e-05,4.679e-05,4.623e-05,4.566e-05,,,
9,mortality,female,0.00017969,0.00017533,0.00017084,0.00016661,0.00016235,0.00015844,0.00015439,0.00015051,0.00014705,0.00014366,0.00014043,0.0001371,0.00013396,0.00013073,0.00012793,0.00012528,0.00012249,0.00012002,0.00011753,0.00011509,0.00011281,0.00011058,0.00010832,0.00010638,0.0001043,0.00010228,0.00010018,9.824e-05,9.627e-05,9.448e-05,9.26e-05,9.084e-05,8.915e-05,8.749e-05,8.587e-05,8.434e-05,8.272e-05,8.112e-05,7.961e-05,7.824e-05,7.686e-05,7.555e-05,7.431e-05,7.305e-05,7.179e-05,7.076e-05,6.961e-05,6.847e-05,6.723e-05,6.609e-05,6.51e-05,6.415e-05,6.309e-05,6.212e-05,6.107e-05,6.017e-05,5.927e-05,5.841e-05,5.747e-05,5.663e-05,5.574e-05,5.499e-05,5.413e-05,5.334e-05,5.251e-05,5.174e-05,5.088e-05,5.012e-05,4.939e-05,4.87e-05,4.802e-05,4.722e-05,4.654e-05,4.589e-05,4.526e-05,4.467e-05,4.407e-05,,,
