age,variable,sex,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085,y2086,y2087,y2088,y2089,y2090,y2091,y2092,y2093,y2094,y2095,y2096,y2097,y2098,y2099,y2100,y2101,y2102,y2103
0,mortality,male,0.01155296,0.01122829,0.01091097,0.01060026,0.01028085,0.00997398,0.00965935,0.00938357,0.00909139,0.00883015,0.00857249,0.00830492,0.00805702,0.00782366,0.00764246,0.00747393,0.00730329,0.00714243,0.00698343,0.0068248,0.00666968,0.0065154,0.00637033,0.00622688,0.00607838,0.00593518,0.00579122,0.00565733,0.00551951,0.00540551,0.00528304,0.00516457,0.00505349,0.00493969,0.00483209,0.00473097,0.00462243,0.00452201,0.00442386,0.00433802,0.00425123,0.00417715,0.0041033,0.00403017,0.00396048,0.00389877,0.00383013,0.00376533,0.0036992,0.00363529,0.00357965,0.00352468,0.00346833,0.00341322,0.00335916,0.00330828,0.00326168,0.00321432,0.0031696,0.00312606,0.00308463,0.00304602,0.00300576,0.00296919,0.0029291,0.00288835,0.00284769,0.0028131,0.00277553,0.002744,0.00271007,0.00267762,0.00264116,0.00261335,0.0025828,0.00255765,0.00252796,,,
1,mortality,male,0.0008095,0.00078681,0.00076446,0.00074243,0.00071987,0.00069804,0.00067566,0.00065555,0.00063451,0.00061523,0.00059618,0.00057653,0.00055797,0.00053983,0.00052493,0.00051111,0.00049722,0.00048409,0.00047098,0.00045817,0.00044568,0.00043335,0.00042149,0.00041006,0.00039834,0.00038711,0.00037558,0.00036512,0.00035465,0.0003454,0.00033586,0.00032706,0.00031815,0.00030952,0.00030137,0.00029378,0.00028572,0.00027826,0.00027116,0.00026457,0.00025781,0.00025179,0.00024608,0.00024024,0.00023468,0.00022971,0.00022457,0.00021949,0.00021439,0.00020975,0.00020539,0.00020119,0.00019691,0.00019276,0.00018877,0.00018478,0.00018119,0.00017749,0.00017409,0.00017079,0.00016736,0.00016447,0.00016147,0.00015852,0.00015562,0.00015263,0.00014977,0.00014708,0.00014446,0.000142,0.00013964,0.00013719,0.00013477,0.00013254,0.00013035,0.00012838,0.00012629,,,
2,mortality,male,0.0006131,0.00059712,0.00058132,0.00056571,0.00054967,0.00053412,0.00051814,0.00050372,0.00048862,0.00047471,0.00046099,0.00044677,0.00043331,0.00041997,0.00040895,0.00039876,0.00038848,0.00037876,0.00036905,0.00035952,0.00035021,0.000341,0.00033216,0.0003236,0.0003148,0.00030634,0.00029769,0.00028981,0.00028194,0.00027502,0.00026785,0.00026119,0.00025452,0.00024799,0.00024182,0.00023607,0.00022995,0.00022429,0.00021885,0.00021386,0.00020872,0.00020416,0.0001998,0.00019535,0.00019112,0.00018733,0.00018338,0.00017948,0.00017557,0.00017196,0.00016862,0.00016538,0.00016207,0.00015886,0.00015576,0.00015268,0.00014989,0.00014703,0.00014439,0.00014182,0.00013918,0.00013692,0.00013458,0.0001323,0.00013001,0.00012767,0.00012541,0.00012331,0.00012123,0.0001193,0.00011743,0.00011551,0.00011356,0.00011182,0.00011008,0.00010854,0.00010687,,,
3,mortality,male,0.00046827,0.00045701,0.00044586,0.00043478,0.00042337,0.00041228,0.00040086,0.00039051,0.00037966,0.00036961,0.00035972,0.00034941,0.00033963,0.0003298,0.00032163,0.00031408,0.00030644,0.00029921,0.000292,0.00028488,0.00027791,0.00027099,0.00026438,0.00025794,0.0002513,0.00024489,0.00023837,0.0002324,0.00022643,0.00022123,0.00021582,0.00021073,0.00020571,0.00020073,0.00019603,0.00019164,0.00018695,0.00018262,0.00017843,0.00017462,0.00017068,0.00016719,0.00016384,0.00016043,0.00015717,0.00015427,0.00015119,0.00014819,0.00014515,0.00014232,0.00013974,0.00013721,0.00013463,0.00013212,0.00012968,0.00012728,0.0001251,0.00012288,0.0001208,0.00011878,0.00011674,0.00011495,0.0001131,0.00011132,0.0001095,0.00010765,0.00010584,0.00010418,0.00010252,0.000101,9.949e-05,9.797e-05,9.639e-05,9.502e-05,9.362e-05,9.24e-05,9.105e-05,,,
4,mortality,male,0.0003641,0.00035608,0.00034811,0.00034016,0.00033194,0.00032394,0.00031568,0.00030816,0.00030026,0.00029291,0.00028569,0.00027812,0.00027093,0.00026358,0.00025743,0.00025175,0.00024599,0.00024053,0.00023509,0.00022969,0.00022439,0.00021911,0.00021409,0.00020917,0.00020408,0.00019915,0.00019416,0.00018957,0.00018496,0.00018099,0.00017682,0.00017287,0.00016901,0.00016515,0.00016151,0.00015808,0.00015443,0.00015105,0.00014777,0.0001448,0.00014172,0.00013901,0.00013638,0.00013371,0.00013117,0.0001289,0.00012646,0.00012409,0.00012169,0.00011943,0.00011739,0.00011538,0.00011333,0.00011133,0.00010937,0.00010747,0.00010574,0.00010397,0.00010231,0.00010069,9.908e-05,9.764e-05,9.615e-05,9.473e-05,9.326e-05,9.176e-05,9.029e-05,8.896e-05,8.76e-05,8.638e-05,8.515e-05,8.391e-05,8.262e-05,8.151e-05,8.037e-05,7.938e-05,7.828e-05,,,
5,mortality,male,0.00028992,0.00028409,0.00027828,0.00027246,0.00026641,0.00026052,0.00025441,0.00024883,0.00024297,0.00023747,0.00023209,0.00022641,0.00022101,0.0002154,0.00021066,0.00020629,0.00020183,0.00019761,0.0001934,0.0001892,0.00018508,0.00018096,0.00017705,0.00017319,0.0001692,0.00016533,0.00016142,0.00015779,0.00015414,0.00015103,0.00014775,0.00014459,0.00014156,0.00013849,0.00013559,0.00013285,0.00012993,0.00012723,0.00012458,0.00012222,0.00011975,0.00011759,0.00011547,0.00011333,0.00011129,0.00010947,0.00010749,0.00010558,0.00010363,0.00010178,0.00010012,9.849e-05,9.681e-05,9.518e-05,9.357e-05,9.203e-05,9.061e-05,8.917e-05,8.781e-05,8.648e-05,8.518e-05,8.399e-05,8.277e-05,8.161e-05,8.039e-05,7.915e-05,7.792e-05,7.683e-05,7.569e-05,7.469e-05,7.366e-05,7.264e-05,7.154e-05,7.063e-05,6.968e-05,6.886e-05,6.794e-05,,,
6,mortality,male,0.00024046,0.00023596,0.00023145,0.00022693,0.00022223,0.00021763,0.00021286,0.00020848,0.00020388,0.00019955,0.00019532,0.00019084,0.00018656,0.00018207,0.00017825,0.00017471,0.00017109,0.00016768,0.00016426,0.00016084,0.00015748,0.00015412,0.00015093,0.00014778,0.00014451,0.00014133,0.00013813,0.00013514,0.00013213,0.00012957,0.00012687,0.00012424,0.00012175,0.0001192,0.00011679,0.00011451,0.00011207,0.00010983,0.0001076,0.00010563,0.00010357,0.00010177,0.0001,9.821e-05,9.65e-05,9.497e-05,9.33e-05,9.17e-05,9.006e-05,8.849e-05,8.709e-05,8.571e-05,8.429e-05,8.29e-05,8.153e-05,8.023e-05,7.903e-05,7.781e-05,7.665e-05,7.553e-05,7.443e-05,7.342e-05,7.237e-05,7.139e-05,7.035e-05,6.929e-05,6.823e-05,6.73e-05,6.632e-05,6.547e-05,6.458e-05,6.37e-05,6.276e-05,6.198e-05,6.116e-05,6.046e-05,5.966e-05,,,
7,mortality,male,0.00021245,0.00020865,0.00020484,0.000201,0.00019702,0.00019311,0.00018906,0.00018532,0.00018141,0.00017771,0.0001741,0.00017028,0.00016661,0.00016273,0.00015938,0.00015628,0.0001531,0.0001501,0.0001471,0.00014409,0.00014113,0.00013817,0.00013537,0.00013259,0.00012971,0.00012691,0.00012409,0.00012144,0.00011877,0.0001165,0.0001141,0.00011176,0.00010954,0.00010727,0.00010512,0.00010308,0.00010091,9.89e-05,9.691e-05,9.514e-05,9.33e-05,9.169e-05,9.01e-05,8.849e-05,8.696e-05,8.559e-05,8.408e-05,8.264e-05,8.116e-05,7.975e-05,7.849e-05,7.724e-05,7.596e-05,7.47e-05,7.347e-05,7.229e-05,7.121e-05,7.011e-05,6.907e-05,6.805e-05,6.705e-05,6.614e-05,6.519e-05,6.431e-05,6.336e-05,6.24e-05,6.145e-05,6.06e-05,5.972e-05,5.894e-05,5.813e-05,5.734e-05,5.648e-05,5.577e-05,5.503e-05,5.439e-05,5.367e-05,,,
8,mortality,male,0.00020213,0.00019856,0.00019497,0.00019137,0.00018762,0.00018396,0.00018016,0.00017665,0.00017298,0.0001695,0.0001661,0.00016252,0.00015907,0.00015539,0.00015218,0.00014918,0.00014612,0.00014323,0.00014033,0.00013744,0.00013459,0.00013174,0.00012904,0.00012637,0.00012362,0.00012093,0.00011822,0.00011567,0.0001131,0.00011089,0.00010856,0.00010631,0.00010416,0.00010196,9.988e-05,9.791e-05,9.581e-05,9.386e-05,9.194e-05,9.022e-05,8.844e-05,8.687e-05,8.532e-05,8.376e-05,8.227e-05,8.093e-05,7.948e-05,7.807e-05,7.664e-05,7.527e-05,7.405e-05,7.283e-05,7.159e-05,7.037e-05,6.917e-05,6.803e-05,6.697e-05,6.59e-05,6.489e-05,6.39e-05,6.293e-05,6.204e-05,6.113e-05,6.026e-05,5.934e-05,5.841e-05,5.749e-05,5.667e-05,5.581e-05,5.506e-05,5.428e-05,5.35e-05,5.268e-05,5.199e-05,5.127e-05,5.064e-05,4.995e-05,,,
9,mortality,male,0.00020537,0.00020172,0.00019805,0.00019436,0.00019055,0.00018682,0.00018296,0.00017937,0.00017565,0.0001721,0.00016863,0.00016501,0.0001615,0.00015774,0.0001544,0.00015128,0.00014809,0.00014508,0.00014205,0.00013905,0.0001361,0.00013315,0.00013034,0.00012759,0.00012474,0.00012198,0.00011917,0.00011655,0.00011388,0.00011157,0.00010915,0.00010682,0.00010457,0.00010229,0.00010013,9.809e-05,9.592e-05,9.39e-05,9.192e-05,9.013e-05,8.828e-05,8.664e-05,8.503e-05,8.341e-05,8.185e-05,8.045e-05,7.895e-05,7.749e-05,7.6e-05,7.459e-05,7.332e-05,7.206e-05,7.077e-05,6.951e-05,6.827e-05,6.708e-05,6.599e-05,6.488e-05,6.383e-05,6.281e-05,6.179e-05,6.087e-05,5.993e-05,5.902e-05,5.808e-05,5.712e-05,5.618e-05,5.532e-05,5.445e-05,5.366e-05,5.286e-05,5.206e-05,5.122e-05,5.05e-05,4.977e-05,4.912e-05,4.84e-05,,,
10,mortality,male,0.00021921,0.00021528,0.00021134,0.00020737,0.00020329,0.0001993,0.00019516,0.00019131,0.00018734,0.00018353,0.00017982,0.00017596,0.00017219,0.00016815,0.00016451,0.00016108,0.00015759,0.0001543,0.00015098,0.0001477,0.00014448,0.00014128,0.0001382,0.00013521,0.00013213,0.00012913,0.00012608,0.00012323,0.00012033,0.00011779,0.00011515,0.00011262,0.00011016,0.00010767,0.00010532,0.0001031,0.00010074,9.855e-05,9.639e-05,9.444e-05,9.242e-05,9.062e-05,8.887e-05,8.709e-05,8.539e-05,8.385e-05,8.223e-05,8.063e-05,7.901e-05,7.749e-05,7.61e-05,7.473e-05,7.333e-05,7.195e-05,7.061e-05,6.932e-05,6.813e-05,6.692e-05,6.578e-05,6.467e-05,6.355e-05,6.255e-05,6.153e-05,6.053e-05,5.952e-05,5.849e-05,5.747e-05,5.654e-05,5.56e-05,5.474e-05,5.388e-05,5.301e-05,5.212e-05,5.133e-05,5.054e-05,4.983e-05,4.906e-05,,,
11,mortality,male,0.00024947,0.00024494,0.00024038,0.00023581,0.00023112,0.00022653,0.00022179,0.00021736,0.00021283,0.00020846,0.0002042,0.00019979,0.00019548,0.00019085,0.00018661,0.00018262,0.00017855,0.00017471,0.00017083,0.00016702,0.00016329,0.00015957,0.00015599,0.00015253,0.00014898,0.00014552,0.00014199,0.0001387,0.00013534,0.00013237,0.0001293,0.00012638,0.0001235,0.00012062,0.00011789,0.00011532,0.00011258,0.00011005,0.00010757,0.00010529,0.00010295,0.00010085,9.882e-05,9.675e-05,9.476e-05,9.297e-05,9.11e-05,8.924e-05,8.736e-05,8.562e-05,8.4e-05,8.241e-05,8.079e-05,7.921e-05,7.766e-05,7.616e-05,7.478e-05,7.338e-05,7.206e-05,7.078e-05,6.946e-05,6.831e-05,6.713e-05,6.597e-05,6.48e-05,6.362e-05,6.246e-05,6.137e-05,6.03e-05,5.93e-05,5.832e-05,5.731e-05,5.63e-05,5.538e-05,5.447e-05,5.365e-05,5.277e-05,,,
12,mortality,male,0.00030401,0.0002984,0.00029277,0.00028713,0.00028137,0.00027574,0.00026993,0.00026448,0.00025894,0.00025358,0.00024835,0.00024298,0.00023769,0.00023203,0.00022676,0.00022177,0.0002167,0.00021192,0.00020707,0.00020234,0.00019771,0.0001931,0.00018864,0.00018437,0.00017998,0.00017573,0.00017136,0.00016728,0.00016312,0.00015941,0.00015559,0.00015198,0.00014838,0.00014481,0.00014143,0.00013824,0.00013486,0.00013172,0.00012865,0.00012582,0.00012291,0.00012028,0.00011778,0.00011519,0.00011272,0.00011048,0.00010817,0.00010586,0.00010353,0.00010139,9.938e-05,9.741e-05,9.54e-05,9.344e-05,9.154e-05,8.967e-05,8.796e-05,8.621e-05,8.458e-05,8.299e-05,8.134e-05,7.993e-05,7.847e-05,7.701e-05,7.558e-05,7.412e-05,7.271e-05,7.135e-05,7.004e-05,6.879e-05,6.76e-05,6.635e-05,6.512e-05,6.397e-05,6.286e-05,6.183e-05,6.076e-05,,,
13,mortality,male,0.00039001,0.00038277,0.00037549,0.00036822,0.00036081,0.00035357,0.00034611,0.0003391,0.00033201,0.00032513,0.00031841,0.00031156,0.00030478,0.00029751,0.00029064,0.00028411,0.0002775,0.00027125,0.00026491,0.00025875,0.00025272,0.00024674,0.00024092,0.00023537,0.00022968,0.00022418,0.0002185,0.00021321,0.0002078,0.00020294,0.00019795,0.00019326,0.00018855,0.0001839,0.00017949,0.00017534,0.00017094,0.00016685,0.00016287,0.00015916,0.00015538,0.00015193,0.00014866,0.00014528,0.00014204,0.00013911,0.0001361,0.00013309,0.00013005,0.00012727,0.00012464,0.00012207,0.00011946,0.00011691,0.00011443,0.00011199,0.00010976,0.00010748,0.00010535,0.00010328,0.00010111,9.927e-05,9.737e-05,9.546e-05,9.361e-05,9.171e-05,8.988e-05,8.811e-05,8.641e-05,8.478e-05,8.324e-05,8.161e-05,8.003e-05,7.852e-05,7.707e-05,7.573e-05,7.434e-05,,,
14,mortality,male,0.00052036,0.0005107,0.00050099,0.00049128,0.00048143,0.00047182,0.00046192,0.00045259,0.0004432,0.00043406,0.00042513,0.00041608,0.00040707,0.00039739,0.00038812,0.00037928,0.00037033,0.00036188,0.00035329,0.00034496,0.00033683,0.00032877,0.00032089,0.00031342,0.00030578,0.00029839,0.00029073,0.0002836,0.00027631,0.00026969,0.00026295,0.00025662,0.00025022,0.00024393,0.00023797,0.00023235,0.00022641,0.00022089,0.00021552,0.00021049,0.00020537,0.00020068,0.00019625,0.00019165,0.00018725,0.00018326,0.0001792,0.00017511,0.00017099,0.00016726,0.00016368,0.0001602,0.00015666,0.00015321,0.00014986,0.00014655,0.00014352,0.00014042,0.00013754,0.00013474,0.00013177,0.00012927,0.0001267,0.00012409,0.00012159,0.00011903,0.00011656,0.00011415,0.00011188,0.00010965,0.00010757,0.00010536,0.00010324,0.00010119,9.924e-05,9.74e-05,9.553e-05,,,
15,mortality,male,0.0007067,0.00069366,0.00068057,0.00066747,0.00065423,0.0006413,0.00062801,0.00061543,0.00060285,0.00059054,0.00057852,0.0005664,0.00055429,0.00054122,0.00052852,0.00051638,0.0005041,0.00049251,0.0004807,0.00046929,0.00045815,0.00044711,0.00043631,0.00042609,0.00041565,0.00040557,0.00039509,0.00038532,0.00037533,0.00036621,0.00035694,0.00034827,0.00033944,0.0003308,0.00032262,0.0003149,0.00030674,0.00029917,0.0002918,0.00028486,0.00027781,0.00027133,0.00026524,0.0002589,0.00025281,0.00024731,0.00024173,0.00023609,0.00023041,0.00022529,0.00022036,0.00021556,0.00021068,0.00020592,0.00020132,0.00019675,0.00019256,0.00018829,0.00018431,0.00018045,0.00017632,0.00017288,0.00016935,0.00016572,0.00016228,0.00015875,0.00015538,0.00015204,0.00014892,0.00014583,0.00014299,0.00013993,0.00013703,0.00013418,0.00013149,0.00012895,0.00012638,,,
16,mortality,male,0.00094788,0.00093048,0.000913,0.00089553,0.0008779,0.0008607,0.00084302,0.00082626,0.00080955,0.00079315,0.00077715,0.00076108,0.00074495,0.00072755,0.00071045,0.00069408,0.00067752,0.00066189,0.00064593,0.00063055,0.00061555,0.00060068,0.00058609,0.00057235,0.00055832,0.00054476,0.00053065,0.00051749,0.00050401,0.00049165,0.00047913,0.00046743,0.00045547,0.0004438,0.00043274,0.00042231,0.00041129,0.00040106,0.00039111,0.0003817,0.00037217,0.00036336,0.00035512,0.00034651,0.00033825,0.00033077,0.00032323,0.00031557,0.00030786,0.00030095,0.00029426,0.00028774,0.00028113,0.00027468,0.00026845,0.00026223,0.00025655,0.00025074,0.00024534,0.0002401,0.00023446,0.00022979,0.00022499,0.00022005,0.00021539,0.0002106,0.00020603,0.00020148,0.00019726,0.00019304,0.0001892,0.00018503,0.00018113,0.00017723,0.00017358,0.00017011,0.00016663,,,
