iso3,location,variable,age,sex,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085,y2086,y2087,y2088,y2089,y2090,y2091,y2092,y2093,y2094,y2095,y2096,y2097,y2098,y2099,y2100,y2101
MEX,Mexico,population,0,male,1027.259,1019.211,1009.382,1002.33,994.427,987.724,981.998,975.7,970.557,965.177,959.2140000000001,953.349,947.476,941.014,935.164,928.77,921.043,912.795,904.091,895.4349999999999,886.941,879.7859999999999,871.557,863.21,854.352,847.144,839.425,831.974,824.55,816.918,810.2329999999999,803.412,797.377,790.6420000000001,784.6319999999999,778.828,773.505,766.588,760.473,755.421,750.039,743.708,738.057,731.614,726.17,720.611,714.5890000000001,709.599,704.048,697.638,691.978,685.28,679.621,673.768,667.971,661.826,656.785,650.653,646.1559999999999,641.216,635.311,630.255,625.052,620.486,615.567,611.011,606.021,601.745,597.206,592.641,587.878,582.296,577.48,572.85,568.826,564.853,561.138,557.403
MEX,Mexico,population,1,male,1037.097,1024.134,1016.107,1006.321,999.35,991.52,984.859,979.205,972.952,967.883,962.574,956.5890000000001,950.826,944.96,938.599,932.752,926.34,918.677,910.528,901.871,893.226,884.807,877.652,869.456,861.133,852.381,845.1,837.4640000000001,830.025,822.644,815.024,808.371,801.573,795.573,788.889,782.942,777.134,771.802,764.955,758.841,753.808,748.438,742.101,736.503,730.096,724.652,719.13,713.08,708.168,702.599,696.182,690.571,683.909,678.278,672.441,666.6609999999999,660.51,655.498,649.3579999999999,644.958,639.998,634.095,629.023,623.867,619.35,614.471,609.895,604.91,600.6130000000001,596.136,591.518,586.799,581.241,576.463,571.826,567.829,563.864,560.158
MEX,Mexico,population,2,male,1047.773,1035.264,1022.294,1014.273,1004.534,997.6,989.78,983.158,977.52,971.3099999999999,966.282,960.928,955.0119999999999,949.2329999999999,943.437,937.063,931.183,924.811,917.22,909.098,900.433,891.841,883.407,876.2670000000001,868.078,859.835,851.003,843.783,836.144,828.732,821.349,813.747,807.102,800.326,794.361,787.725,781.765,775.939,770.66,763.804,757.701,752.671,747.287,740.992,735.418,729.004,723.5890000000001,718.034,712.049,707.115,701.532,695.154,689.5700000000001,682.929,677.307,671.48,665.6900000000001,659.5599999999999,654.535,648.48,644.057,639.095,633.173,628.141,623.025,618.5410000000001,613.64,609.0650000000001,604.057,599.814,595.2859999999999,590.704,586.004,580.477,575.691,571.075,567.082,563.124
MEX,Mexico,population,3,male,1052.633,1046.206,1033.684,1020.717,1012.734,1003.025,996.095,988.307,981.697,976.093,969.918,964.846,959.552,953.6180000000001,947.899,942.088,935.682,929.836,923.528,915.9589999999999,907.828,899.21,890.602,882.18,875.044,866.926,858.609,849.831,842.607,834.991,827.576,820.208,812.6130000000001,805.987,799.242,793.319,786.67,780.692,774.914,769.627,762.779,756.678,751.634,746.288,740.015,734.434,728.046,722.6,717.104,711.099,706.151,700.604,694.249,688.684,682.051,676.438,670.601,664.829,658.688,653.74,647.664,643.239,638.259,632.374,627.378,622.293,617.788,612.8869999999999,608.2910000000001,603.332,599.0410000000001,594.546,589.982,585.3099999999999,579.775,575.008,570.397,566.41
MEX,Mexico,population,4,male,1062.235,1051.279,1044.834,1032.312,1019.378,1011.418,1001.711,994.807,987.027,980.4450000000001,974.871,968.653,963.633,958.3200000000001,952.4400000000001,946.706,940.864,934.487,928.698,922.408,914.829,906.739,898.105,889.506,881.088,874.015,865.829,857.559,848.777,841.573,833.953,826.551,819.188,811.61,805.011,798.304,792.369,785.703,779.769,773.982,768.701,761.856,755.741,750.732,745.405,739.124,733.567,727.15,721.758,716.2430000000001,710.225,705.309,699.784,693.446,687.8869999999999,681.2619999999999,675.64,669.819,664.038,657.966,652.999,646.92,642.479,637.532,631.68,626.711,621.6079999999999,617.103,612.183,607.631,602.629,598.3680000000001,593.889,589.35,584.671,579.153,574.39,569.784
MEX,Mexico,population,5,male,1060.799,1061.047,1050.075,1043.624,1031.129,1018.216,1010.256,1000.571,993.672,985.918,979.361,973.747,967.575,962.535,957.27,951.374,945.611,939.794,933.4690000000001,927.6950000000001,921.395,913.852,905.746,897.12,888.524,880.163,873.026,864.8819999999999,856.6079999999999,847.843,840.635,833.027,825.629,818.2809999999999,810.727,804.163,797.4450000000001,791.4930000000001,784.867,778.924,773.143,767.8630000000001,761.005,754.922,749.929,744.596,738.337,732.753,726.385,720.975,715.448,709.4589999999999,704.563,699.052,692.72,687.169,680.535,674.928,669.098,663.38,657.2910000000001,652.322,646.228,641.817,636.9,631.073,626.087,620.9829999999999,616.46,611.581,606.989,602.015,597.768,593.312,588.7670000000001,584.103,578.5890000000001,573.831
MEX,Mexico,population,6,male,1060.122,1059.746,1059.974,1048.997,1042.568,1030.091,1017.177,1009.235,999.555,992.678,984.946,978.351,972.777,966.587,961.59,956.3099999999999,950.3869999999999,944.646,938.875,932.564,926.78,920.5119999999999,912.954,904.855,896.23,887.686,879.266,872.167,864.019,855.76,846.992,839.793,832.188,824.803,817.478,809.956,803.38,796.647,790.731,784.097,778.159,772.38,767.088,760.258,754.191,749.192,743.877,737.5940000000001,732.055,725.67,720.249,714.749,708.778,703.895,698.39,692.0650000000001,686.504,679.885,674.269,668.497,662.763,656.672,651.688,645.622,641.2380000000001,636.345,630.501,625.516,620.395,615.91,610.994,606.427,601.466,597.24,592.778,588.247,583.587,578.077
MEX,Mexico,population,7,male,1077.255,1059.172,1058.778,1058.998,1048.041,1041.627,1029.148,1016.251,1008.313,998.652,991.794,984.027,977.47,971.878,965.727,960.716,955.41,949.5069999999999,943.809,938.05,931.729,925.975,919.692,912.14,904.0410000000001,895.465,886.866,878.481,871.378,863.244,854.982,846.222,839.026,831.433,824.069,816.772,809.239,802.65,795.95,790.026,783.397,777.46,771.669,766.403,759.588,753.515,748.533,743.196,736.954,731.399,725.005,719.607,714.124,708.1660000000001,703.287,697.788,691.455,685.908,679.28,673.717,667.931,662.194,656.09,651.1319999999999,645.091,640.729,635.8200000000001,629.977,624.976,619.89,615.371,610.478,605.923,600.982,596.75,592.301,587.773,583.117
MEX,Mexico,population,8,male,1097.865,1076.377,1058.281,1057.879,1058.116,1047.173,1040.755,1028.293,1015.4,1007.479,997.837,990.947,983.2140000000001,976.64,971.085,964.921,959.886,954.598,948.734,943.047,937.28,930.986,925.218,918.941,911.389,903.335,894.708,886.141,877.752,870.662,862.525,854.27,845.514,838.329,830.755,823.417,816.111,808.5650000000001,802.006,795.299,789.38,782.751,776.804,771.038,765.785,758.9640000000001,752.907,747.905,742.606,736.349,730.785,724.413,719.0309999999999,713.559,707.605,702.732,697.226,690.905,685.35,678.771,673.1950000000001,667.4059999999999,661.658,655.578,650.643,644.622,640.245,635.337,629.48,624.51,619.393,614.895,610.014,605.477,600.53,596.311,591.865,587.34
MEX,Mexico,population,9,male,1128.831,1097.038,1075.538,1057.439,1057.053,1057.3,1046.355,1039.952,1027.493,1014.618,1006.715,997.043,990.1849999999999,982.437,975.897,970.33,964.144,959.127,953.876,948.023,942.327,936.585,930.279,924.516,918.24,910.729,902.628,894.032,885.462,877.085,869.992,861.862,853.611,844.864,837.698,830.148,822.802,815.484,807.966,801.401,794.699,788.78,782.1420000000001,776.218,770.463,765.206,758.4,752.324,747.357,742.044,735.779,730.236,723.878,718.5069999999999,713.039,707.09,702.211,696.715,690.388,684.878,678.287,672.7089999999999,666.91,661.183,655.124,650.207,644.174,639.798,634.876,629.048,624.05,618.953,614.465,609.6,605.059,600.123,595.9059999999999,591.4640000000001
