iso3,country,sex,age,year,earnings,gini,sd
MEX,Mexico,Female,15,2024,6837.594,.304,4085.867397538672
MEX,Mexico,Male,15,2024,7758.843,.291,4397.424159627022
MEX,Mexico,Female,16,2024,6837.594,.304,4085.867397538672
MEX,Mexico,Male,16,2024,7758.843,.291,4397.424159627022
MEX,Mexico,Female,17,2024,6837.594,.304,4085.867397538672
MEX,Mexico,Male,17,2024,7758.843,.291,4397.424159627022
MEX,Mexico,Male,18,2024,7758.843,.291,4397.424159627022
MEX,Mexico,Female,18,2024,6837.594,.304,4085.867397538672
MEX,Mexico,Male,19,2024,7758.843,.291,4397.424159627022
MEX,Mexico,Female,19,2024,6837.594,.304,4085.867397538672
MEX,Mexico,Female,20,2024,6837.594,.304,4085.867397538672
MEX,Mexico,Male,20,2024,7758.843,.291,4397.424159627022
MEX,Mexico,Male,21,2024,7758.843,.291,4397.424159627022
MEX,Mexico,Female,21,2024,6837.594,.304,4085.867397538672
MEX,Mexico,Male,22,2024,7758.843,.291,4397.424159627022
MEX,Mexico,Female,22,2024,6837.594,.304,4085.867397538672
MEX,Mexico,Male,23,2024,7758.843,.291,4397.424159627022
MEX,Mexico,Female,23,2024,6837.594,.304,4085.867397538672
MEX,Mexico,Male,24,2024,7758.843,.291,4397.424159627022
MEX,Mexico,Female,24,2024,6837.594,.304,4085.867397538672
MEX,Mexico,Male,25,2024,11261.491,.346,7919.120277586811
MEX,Mexico,Female,25,2024,9636.251,.358,7086.112244934085
MEX,Mexico,Female,26,2024,9636.251,.358,7086.112244934085
MEX,Mexico,Male,26,2024,11261.491,.346,7919.120277586811
MEX,Mexico,Male,27,2024,11261.491,.346,7919.120277586811
MEX,Mexico,Female,27,2024,9636.251,.358,7086.112244934085
MEX,Mexico,Female,28,2024,9636.251,.358,7086.112244934085
MEX,Mexico,Male,28,2024,11261.491,.346,7919.120277586811
MEX,Mexico,Female,29,2024,9636.251,.358,7086.112244934085
MEX,Mexico,Male,29,2024,11261.491,.346,7919.120277586811
MEX,Mexico,Female,30,2024,9636.251,.358,7086.112244934085
MEX,Mexico,Male,30,2024,11261.491,.346,7919.120277586811
MEX,Mexico,Female,31,2024,9636.251,.358,7086.112244934085
MEX,Mexico,Male,31,2024,11261.491,.346,7919.120277586811
MEX,Mexico,Female,32,2024,9636.251,.358,7086.112244934085
MEX,Mexico,Male,32,2024,11261.491,.346,7919.120277586811
MEX,Mexico,Male,33,2024,11261.491,.346,7919.120277586811
MEX,Mexico,Female,33,2024,9636.251,.358,7086.112244934085
MEX,Mexico,Male,34,2024,11261.491,.346,7919.120277586811
MEX,Mexico,Female,34,2024,9636.251,.358,7086.112244934085
MEX,Mexico,Male,35,2024,11807.75,.346,8303.251537267637
MEX,Mexico,Female,35,2024,9579.522000000001,.358,7044.396015090875
MEX,Mexico,Female,36,2024,9579.522000000001,.358,7044.396015090875
MEX,Mexico,Male,36,2024,11807.75,.346,8303.251537267637
MEX,Mexico,Male,37,2024,11807.75,.346,8303.251537267637
MEX,Mexico,Female,37,2024,9579.522000000001,.358,7044.396015090875
MEX,Mexico,Male,38,2024,11807.75,.346,8303.251537267637
MEX,Mexico,Female,38,2024,9579.522000000001,.358,7044.396015090875
MEX,Mexico,Male,39,2024,11807.75,.346,8303.251537267637
MEX,Mexico,Female,39,2024,9579.522000000001,.358,7044.396015090875
MEX,Mexico,Female,40,2024,9579.522000000001,.358,7044.396015090875
MEX,Mexico,Male,40,2024,11807.75,.346,8303.251537267637
MEX,Mexico,Male,41,2024,11807.75,.346,8303.251537267637
MEX,Mexico,Female,41,2024,9579.522000000001,.358,7044.396015090875
MEX,Mexico,Male,42,2024,11807.75,.346,8303.251537267637
MEX,Mexico,Female,42,2024,9579.522000000001,.358,7044.396015090875
MEX,Mexico,Female,43,2024,9579.522000000001,.358,7044.396015090875
MEX,Mexico,Male,43,2024,11807.75,.346,8303.251537267637
MEX,Mexico,Male,44,2024,11807.75,.346,8303.251537267637
MEX,Mexico,Female,44,2024,9579.522000000001,.358,7044.396015090875
MEX,Mexico,Male,45,2024,11607.7,.346,8162.575670143894
MEX,Mexico,Female,45,2024,9178.767,.358,6749.696871957454
MEX,Mexico,Female,46,2024,9178.767,.358,6749.696871957454
MEX,Mexico,Male,46,2024,11607.7,.346,8162.575670143894
MEX,Mexico,Female,47,2024,9178.767,.358,6749.696871957454
MEX,Mexico,Male,47,2024,11607.7,.346,8162.575670143894
MEX,Mexico,Female,48,2024,9178.767,.358,6749.696871957454
MEX,Mexico,Male,48,2024,11607.7,.346,8162.575670143894
MEX,Mexico,Female,49,2024,9178.767,.358,6749.696871957454
MEX,Mexico,Male,49,2024,11607.7,.346,8162.575670143894
MEX,Mexico,Male,50,2024,11607.7,.346,8162.575670143894
MEX,Mexico,Female,50,2024,9178.767,.358,6749.696871957454
MEX,Mexico,Female,51,2024,9178.767,.358,6749.696871957454
MEX,Mexico,Male,51,2024,11607.7,.346,8162.575670143894
MEX,Mexico,Female,52,2024,9178.767,.358,6749.696871957454
MEX,Mexico,Male,52,2024,11607.7,.346,8162.575670143894
MEX,Mexico,Female,53,2024,9178.767,.358,6749.696871957454
MEX,Mexico,Male,53,2024,11607.7,.346,8162.575670143894
MEX,Mexico,Female,54,2024,9178.767,.358,6749.696871957454
MEX,Mexico,Male,54,2024,11607.7,.346,8162.575670143894
MEX,Mexico,Female,55,2024,8409.844999999999,.384,6799.884681945598
MEX,Mexico,Male,55,2024,10923.191,.378,8642.559975078644
MEX,Mexico,Male,56,2024,10923.191,.378,8642.559975078644
MEX,Mexico,Female,56,2024,8409.844999999999,.384,6799.884681945598
MEX,Mexico,Male,57,2024,10923.191,.378,8642.559975078644
MEX,Mexico,Female,57,2024,8409.844999999999,.384,6799.884681945598
MEX,Mexico,Male,58,2024,10923.191,.378,8642.559975078644
MEX,Mexico,Female,58,2024,8409.844999999999,.384,6799.884681945598
MEX,Mexico,Female,59,2024,8409.844999999999,.384,6799.884681945598
MEX,Mexico,Male,59,2024,10923.191,.378,8642.559975078644
MEX,Mexico,Female,60,2024,8409.844999999999,.384,6799.884681945598
MEX,Mexico,Male,60,2024,10923.191,.378,8642.559975078644
MEX,Mexico,Male,61,2024,10923.191,.378,8642.559975078644
MEX,Mexico,Female,61,2024,8409.844999999999,.384,6799.884681945598
MEX,Mexico,Male,62,2024,10923.191,.378,8642.559975078644
MEX,Mexico,Female,62,2024,8409.844999999999,.384,6799.884681945598
MEX,Mexico,Male,63,2024,10923.191,.378,8642.559975078644
MEX,Mexico,Female,63,2024,8409.844999999999,.384,6799.884681945598
MEX,Mexico,Male,64,2024,10923.191,.378,8642.559975078644
MEX,Mexico,Female,64,2024,8409.844999999999,.384,6799.884681945598
MEX,Mexico,Female,65,2024,7557.468,.404,6564.247271359513
MEX,Mexico,Male,65,2024,8649.799999999999,.422,8007.456088413796
MEX,Mexico,Female,66,2024,7557.468,.404,6564.247271359513
MEX,Mexico,Male,66,2024,8649.799999999999,.422,8007.456088413796
MEX,Mexico,Male,67,2024,8649.799999999999,.422,8007.456088413796
MEX,Mexico,Female,67,2024,7557.468,.404,6564.247271359513
MEX,Mexico,Female,68,2024,7557.468,.404,6564.247271359513
MEX,Mexico,Male,68,2024,8649.799999999999,.422,8007.456088413796
