iso3,year,wage_growth
MEX,1980,26.471
MEX,1981,28.034
MEX,1982,59.115
MEX,1983,101.805
MEX,1984,65.43899999999999
MEX,1985,57.789
MEX,1986,86.449
MEX,1987,131.959
MEX,1988,113.503
MEX,1989,19.919
MEX,1990,26.65
MEX,1991,22.609
MEX,1992,15.517
MEX,1993,9.763
MEX,1994,6.986
MEX,1995,35.061
MEX,1996,34.35
MEX,1997,20.597
MEX,1998,15.917
MEX,1999,16.566
MEX,2000,9.486000000000001
MEX,2001,6.366
MEX,2002,5.037
MEX,2003,4.55
MEX,2004,4.694
MEX,2005,3.99
MEX,2006,3.633
MEX,2007,3.969
MEX,2008,5.13
MEX,2009,5.296
MEX,2010,4.155
MEX,2011,3.404
MEX,2012,4.111
MEX,2013,3.804
MEX,2014,4.019
MEX,2015,2.719
MEX,2016,2.82
MEX,2017,6.042
MEX,2018,4.898
MEX,2019,3.635
MEX,2020,3.398
MEX,2021,5.693
MEX,2022,7.897
MEX,2023,5.526
MEX,2024,4.723
MEX,2025,3.916
MEX,2026,3.349
MEX,2027,3
MEX,2028,3
MEX,2029,3
MEX,2030,3
MEX,2031,3
MEX,2032,3
MEX,2033,3
MEX,2034,3
MEX,2035,3
MEX,2036,3
MEX,2037,3
MEX,2038,3
MEX,2039,3
MEX,2040,3
MEX,2041,3
MEX,2042,3
MEX,2043,3
MEX,2044,3
MEX,2045,3
MEX,2046,3
MEX,2047,3
MEX,2048,3
MEX,2049,3
MEX,2050,3
MEX,2051,3
MEX,2052,3
MEX,2053,3
MEX,2054,3
MEX,2055,3
MEX,2056,3
MEX,2057,3
MEX,2058,3
MEX,2059,3
MEX,2060,3
MEX,2061,3
MEX,2062,3
MEX,2063,3
MEX,2064,3
MEX,2065,3
MEX,2066,3
MEX,2067,3
MEX,2068,3
MEX,2069,3
MEX,2070,3
MEX,2071,3
MEX,2072,3
MEX,2073,3
MEX,2074,3
MEX,2075,3
MEX,2076,3
MEX,2077,3
MEX,2078,3
MEX,2079,3
MEX,2080,3
MEX,2081,3
MEX,2082,3
MEX,2083,3
MEX,2084,3
MEX,2085,3
MEX,2086,3
MEX,2087,3
MEX,2088,3
MEX,2089,3
MEX,2090,3
MEX,2091,3
MEX,2092,3
MEX,2093,3
MEX,2094,3
MEX,2095,3
MEX,2096,3
MEX,2097,3
MEX,2098,3
MEX,2099,3
MEX,2100,3
