age,gender,exposition
15,1,
15,2,
16,1,75557.78995269403
16,2,39701.90933222444
17,1,137248.6386187345
17,2,79470.95238095238
18,1,198939.487284775
18,2,119239.9954296803
19,1,404912.3076923077
19,2,277284.2
20,1,479686.1016949153
20,2,352807.2307692308
21,1,550611.9999999999
21,2,435976.0869565217
22,1,608789.4339622641
22,2,483640.5333333333
23,1,658615.7692307691
23,2,533471.5454545455
24,1,717437.127069068
24,2,609065.4679458876
25,1,756688.6223557009
25,2,635617.1715173747
26,1,795940.1176423336
26,2,676011.272087632
27,1,781875.8555340378
27,2,673035.070693654
28,1,797883.7417155126
28,2,685641.6337019943
29,1,774429.7676908085
29,2,663264.7723866076
30,1,790282.8630444733
30,2,660305.6046025745
31,1,776313.9635662711
31,2,689412.1166633484
32,1,800401.4228938303
32,2,658224.3951544854
33,1,777910.0444074132
33,2,675623.810244487
34,1,768558.737727392
34,2,651696.344193614
35,1,761541.5843643049
35,2,652699.7918145633
36,1,770979.7670962187
36,2,709792.2855368967
37,1,771846.4100300218
37,2,695021.4700141666
38,1,791152.2515074303
38,2,680250.6544914362
39,1,796867.1332659216
39,2,688392.1868925103
40,1,798368.3917451564
40,2,715182.3658523898
41,1,779947.9718927429
41,2,677767.7897032605
42,1,782253.9475751363
42,2,659140.7064482645
43,1,745447.2258787728
43,2,603912.8447250818
44,1,726506.7872084196
44,2,584051.4031465109
45,1,727483.5389130674
45,2,583221.0366383693
46,1,675205.9645581091
46,2,549063.7537508924
47,1,678599.7541171132
47,2,532825.5775635005
48,1,633441.3281544426
48,2,488663.7580584812
49,1,650854.5011886912
49,2,482617.7568683143
50,1,653318.7335915677
50,2,479926.0052857392
51,1,639511.6034647269
51,2,451292.3074715026
52,1,604303.4675633413
52,2,422125.2865368088
53,1,569095.3316619556
53,2,415413.0236365214
54,1,537841.8073514665
54,2,353866.1070933734
55,1,515254.2334262187
55,2,343577.8820677781
56,1,533604.5118053256
56,2,313630.4288703288
57,1,546937.9178035422
57,2,329769.8241779089
58,1,565604.6862010458
58,2,339819.760453708
59,1,522573.0375188288
59,2,314970.9709019375
60,1,845483.5687393856
60,2,505904.1082161043
61,1,645821.0624411139
61,2,381866.2746283337
62,1,559106.7854076521
62,2,326324.6499933403
63,1,472392.5083741905
63,2,270783.0253583468
64,1,364105.8023057047
64,2,192455.6595104388
65,1,282241.7797995077
65,2,142793.7451970874
66,1,200377.7572933107
66,2,93131.83088373591
67,1,175420.8059649292
67,2,80530.19843082463
68,1,150463.8546365476
68,2,67928.56597791331
69,1,136253.2665903986
69,2,60598.51761146725
70,1,109159.4091769928
70,2,46796.19390621623
71,1,82065.55176358692
71,2,32993.8702009652
72,1,65652.44141086953
72,2,26395.09616077216
73,1,49239.33105815214
73,2,19796.32212057912
74,1,49239.33105815214
74,2,19796.32212057912
75,1,
75,2,
76,1,
76,2,
77,1,
77,2,
78,1,
78,2,
79,1,
79,2,
80,1,
80,2,
81,1,
81,2,
82,1,
82,2,
83,1,
83,2,
84,1,
84,2,
85,1,
85,2,
86,1,
86,2,
87,1,
87,2,
88,1,
88,2,
89,1,
89,2,
90,1,
90,2,
91,1,
91,2,
92,1,
92,2,
93,1,
93,2,
94,1,
94,2,
95,1,
95,2,
96,1,
96,2,
97,1,
97,2,
98,1,
98,2,
99,1,
99,2,
100,1,
100,2,
101,1,
101,2,
102,1,
102,2,
103,1,
103,2,
104,1,
104,2,
105,1,
105,2,
106,1,
106,2,
107,1,
107,2,
108,1,
108,2,
109,1,
109,2,
