age,sex,type,name,affiliates,contributors,iacc,oldage_num,oldage_ben,disa_num,disa_ben,survivor_num,survivor_ben
0,1,DC,Afores,0,0,0,0,0,0,0,0,0
1,1,DC,Afores,0,0,0,0,0,0,0,0,0
2,1,DC,Afores,0,0,0,0,0,0,0,0,0
3,1,DC,Afores,0,0,0,0,0,0,0,0,0
4,1,DC,Afores,0,0,0,0,0,0,0,0,0
5,1,DC,Afores,0,0,0,0,0,0,0,0,0
6,1,DC,Afores,0,0,0,0,0,0,0,0,0
7,1,DC,Afores,0,0,0,0,0,0,0,0,0
8,1,DC,Afores,0,0,0,0,0,0,0,0,0
9,1,DC,Afores,0,0,0,0,0,0,0,0,0
10,1,DC,Afores,0,0,0,0,0,0,0,0,0
11,1,DC,Afores,0,0,0,0,0,0,0,0,0
12,1,DC,Afores,0,0,0,0,0,0,0,0,0
13,1,DC,Afores,0,0,0,0,0,0,0,0,0
14,1,DC,Afores,0,0,0,0,0,0,0,0,0
15,1,DC,Afores,0,0,0,0,0,0,0,0,0
16,1,DC,Afores,"75,558","52,890","6,379",0,0,0,0,0,0
17,1,DC,Afores,"137,249","96,074","6,387",0,0,0,0,0,0
18,1,DC,Afores,"198,939","139,258","6,384",0,0,0,0,0,0
19,1,DC,Afores,"404,912","263,193","10,159",0,0,0,"7,105",0,0
20,1,DC,Afores,"479,686","283,015","13,645",0,0,4,"3,363",0,0
21,1,DC,Afores,"540,529","297,291","19,135",0,0,15,"4,444",0,0
22,1,DC,Afores,"599,423","317,694","22,502",0,0,24,"5,289",0,"5,040"
23,1,DC,Afores,"650,411","338,214","27,198",0,0,25,"5,963",0,"4,318"
24,1,DC,Afores,"710,263","369,337","31,434",0,0,37,"6,458",0,"4,655"
25,1,DC,Afores,"749,122","389,543","36,128",0,0,41,"7,020",0,"4,655"
26,1,DC,Afores,"787,981","409,750","43,909",0,0,60,"7,505",1,"4,432"
27,1,DC,Afores,"774,057","410,250","51,054",0,0,69,"7,550",1,"4,315"
28,1,DC,Afores,"789,905","410,751","58,253",0,0,81,"8,139",5,"4,838"
29,1,DC,Afores,"766,685","406,343","67,369",0,0,91,"7,870",4,"4,939"
30,1,DC,Afores,"782,380","406,838","77,851",0,0,101,"8,574",6,"5,089"
31,1,DC,Afores,"768,551","407,332","85,753",0,0,109,"9,134",7,"4,437"
32,1,DC,Afores,"792,397","396,199","94,782",0,0,125,"9,545",8,"4,496"
33,1,DC,Afores,"770,131","385,065","103,405",0,0,143,"9,894",10,"5,438"
34,1,DC,Afores,"760,873","365,219","111,441",0,0,149,"10,076",14,"5,673"
35,1,DC,Afores,"753,926","354,345","116,093",0,0,156,"11,105",15,"5,041"
36,1,DC,Afores,"763,270","343,471","124,179",0,0,165,"11,005",17,"5,315"
37,1,DC,Afores,"764,128","336,216","130,321",0,0,189,"10,796",24,"5,507"
38,1,DC,Afores,"783,241","328,961","138,828",0,0,187,"11,567",26,"5,423"
39,1,DC,Afores,"788,898","323,448","147,366",0,0,220,"11,643",29,"4,849"
40,1,DC,Afores,"790,385","316,154","151,660",0,0,206,"11,374",25,"5,147"
41,1,DC,Afores,"772,148","308,859","158,392",0,0,191,"11,522",31,"5,686"
42,1,DC,Afores,"774,431","302,028","163,235",0,0,171,"10,757",27,"5,314"
43,1,DC,Afores,"734,981","293,992","179,905",0,0,152,"10,909",30,"5,292"
44,1,DC,Afores,"705,093","282,037","191,162",0,0,140,"11,330",36,"5,300"
45,1,DC,Afores,"720,209","280,881","212,540",0,0,124,"11,277",33,"4,821"
46,1,DC,Afores,"660,615","270,852","216,739",0,0,127,"11,032",39,"5,371"
47,1,DC,Afores,"653,030","261,212","230,444",0,0,125,"11,117",47,"5,148"
48,1,DC,Afores,"550,364","231,153","231,228",0,0,121,"11,619",55,"5,092"
49,1,DC,Afores,"504,657","206,909","255,197",0,0,120,"10,446",47,"5,639"
50,1,DC,Afores,"401,136","160,455","263,212",0,0,112,"10,590",54,"4,966"
51,1,DC,Afores,"338,835","135,534","272,031",0,0,102,"10,665",53,"5,287"
52,1,DC,Afores,"271,937","108,775","273,062",0,0,101,"10,732",54,"5,049"
53,1,DC,Afores,"170,729","68,291","289,973",0,0,98,"11,381",54,"5,564"
54,1,DC,Afores,"107,568","43,027","291,344",0,0,97,"11,253",48,"5,031"
55,1,DC,Afores,"51,525","20,095","286,079",0,0,90,"12,381",52,"4,790"
56,1,DC,Afores,"37,352","13,073","315,825",0,0,86,"10,942",57,"4,791"
57,1,DC,Afores,"26,800","8,040","308,965",0,0,84,"12,130",55,"4,834"
