age,sex,type,name,affiliates,contributors,oldage_num,oldage_ben,disa_num,disa_ben,survivor_num,survivor_ben
0,1,DB,Transicion,0,0,0,0,0,0,0,0
1,1,DB,Transicion,0,0,0,0,0,0,0,0
2,1,DB,Transicion,0,0,0,0,0,0,0,0
3,1,DB,Transicion,0,0,0,0,0,0,0,0
4,1,DB,Transicion,0,0,0,0,0,0,0,0
5,1,DB,Transicion,0,0,0,0,0,0,0,0
6,1,DB,Transicion,0,0,0,0,0,0,0,0
7,1,DB,Transicion,0,0,0,0,0,0,0,0
8,1,DB,Transicion,0,0,0,0,0,0,0,0
9,1,DB,Transicion,0,0,0,0,0,0,0,0
10,1,DB,Transicion,0,0,0,0,0,0,0,0
11,1,DB,Transicion,0,0,0,0,0,0,0,0
12,1,DB,Transicion,0,0,0,0,0,0,0,0
13,1,DB,Transicion,0,0,0,0,0,0,0,0
14,1,DB,Transicion,0,0,0,0,0,0,0,0
15,1,DB,Transicion,0,0,0,0,0,0,0,0
16,1,DB,Transicion,0,0,0,0,0,0,0,0
17,1,DB,Transicion,0,0,0,0,0,0,0,0
18,1,DB,Transicion,0,0,0,0,0,0,0,0
19,1,DB,Transicion,0,0,0,0,0,0,0,0
20,1,DB,Transicion,0,0,0,0,0,0,0,0
21,1,DB,Transicion,"10,083","5,545",0,0,0,0,0,0
22,1,DB,Transicion,"9,366","4,964",0,0,0,0,0,0
23,1,DB,Transicion,"8,205","4,267",0,0,1,"1,959",0,0
24,1,DB,Transicion,"7,174","3,731",0,0,0,0,0,0
25,1,DB,Transicion,"7,567","3,935",0,0,4,"2,862",0,0
26,1,DB,Transicion,"7,959","4,139",4,"4,413",0,0,0,0
27,1,DB,Transicion,"7,819","4,144",0,0,0,0,4,"24,100"
28,1,DB,Transicion,"7,979","4,149",0,0,0,0,0,0
29,1,DB,Transicion,"7,744","4,104",0,0,6,"2,383",3,"4,941"
30,1,DB,Transicion,"7,903","4,109",0,0,2,"14,273",0,0
31,1,DB,Transicion,"7,763","4,114",0,0,4,"14,077",1,"47,737"
32,1,DB,Transicion,"8,004","4,002",2,"8,707",18,"12,651",4,"6,430"
33,1,DB,Transicion,"7,779","3,890",0,0,23,"6,518",8,"10,212"
34,1,DB,Transicion,"7,686","3,689",0,0,21,"9,170",6,"4,749"
35,1,DB,Transicion,"7,615","3,579",0,0,21,"15,439",9,"5,346"
36,1,DB,Transicion,"7,710","3,469",0,0,37,"9,594",9,"5,823"
37,1,DB,Transicion,"7,718","3,396",0,0,66,"9,326",25,"8,089"
38,1,DB,Transicion,"7,912","3,323",1,"4,991",83,"10,541",25,"5,078"
39,1,DB,Transicion,"7,969","3,267",0,0,149,"8,551",37,"8,212"
40,1,DB,Transicion,"7,984","3,193",0,0,327,"11,117",63,"7,448"
41,1,DB,Transicion,"7,799","3,120",3,"4,214",724,"10,326",69,"7,607"
42,1,DB,Transicion,"7,823","3,051",0,0,"1,107","9,604",83,"4,946"
43,1,DB,Transicion,"10,466","4,187",0,0,"1,597","10,599",91,"9,020"
44,1,DB,Transicion,"21,414","8,565",0,0,"2,054","10,619",126,"6,518"
45,1,DB,Transicion,"7,275","2,837",0,0,"2,451","10,125",130,"7,822"
46,1,DB,Transicion,"14,591","5,982",0,0,"3,004","9,846",188,"6,040"
47,1,DB,Transicion,"25,570","10,228",1,"4,363","3,386","9,639",272,"8,068"
48,1,DB,Transicion,"83,077","34,893",0,0,"3,644","10,116",271,"7,667"
49,1,DB,Transicion,"146,198","59,941",0,0,"4,066","9,671",254,"6,775"
50,1,DB,Transicion,"252,182","100,873",0,0,"4,326","10,244",369,"7,319"
51,1,DB,Transicion,"300,677","120,271",0,0,"4,452","9,269",307,"6,233"
52,1,DB,Transicion,"332,367","132,947",0,0,"4,995","9,221",365,"7,392"
53,1,DB,Transicion,"398,367","159,347",1,"4,453","5,165","8,952",308,"7,974"
54,1,DB,Transicion,"430,273","172,109",0,0,"5,040","8,699",350,"7,490"
55,1,DB,Transicion,"463,729","180,854",2,"4,413","5,546","7,975",346,"7,792"
56,1,DB,Transicion,"496,252","173,688",0,0,"5,879","8,412",412,"8,558"
57,1,DB,Transicion,"520,138","156,041",2,"4,265","6,367","7,831",428,"8,473"
58,1,DB,Transicion,"546,204","136,551",0,0,"6,814","8,082",439,"7,853"
59,1,DB,Transicion,"510,026","102,005",0,0,"6,725","7,886",475,"8,720"
60,1,DB,Transicion,"831,274","83,127",0,0,"7,089","7,707",468,"8,821"
61,1,DB,Transicion,"638,223","63,822","52,379","17,654","7,456","8,301",508,"9,020"
62,1,DB,Transicion,"559,107","55,911","96,083","16,952","7,930","7,683",423,"9,076"
63,1,DB,Transicion,"472,393","47,239","110,551","16,589","7,560","7,615",517,"8,916"
64,1,DB,Transicion,"364,106","36,411","122,816","16,257","8,016","7,657",555,"8,055"
65,1,DB,Transicion,"282,242","28,224","124,138","15,970","8,009","7,329",570,"8,564"
66,1,DB,Transicion,"200,378","20,038","131,525","15,396","8,291","7,437",580,"8,263"
67,1,DB,Transicion,"175,421","17,542","133,106","14,957","8,086","6,819",582,"8,991"
68,1,DB,Transicion,"150,464","15,046","127,921","14,343","7,747","6,871",499,"8,628"
69,1,DB,Transicion,"136,253","13,625","121,450","13,841","7,733","6,499",590,"9,139"
70,1,DB,Transicion,"109,159","10,916","118,031","13,283","7,783","6,359",614,"8,807"
71,1,DB,Transicion,"82,066","8,207","114,970","12,742","7,452","6,359",583,"8,002"
72,1,DB,Transicion,"65,652","6,565","106,388","12,141","7,220","5,833",607,"7,494"
73,1,DB,Transicion,"49,239","4,924","98,892","11,766","6,932","5,448",537,"7,848"
74,1,DB,Transicion,"49,239","4,924","96,245","11,421","6,874","5,519",578,"7,893"
75,1,DB,Transicion,0,0,"86,498","10,887","6,217","5,261",581,"6,934"
76,1,DB,Transicion,0,0,"79,641","10,513","5,819","5,197",519,"7,713"
77,1,DB,Transicion,0,0,"71,990","10,098","5,419","5,299",460,"6,662"
78,1,DB,Transicion,0,0,"67,122","9,557","5,213","4,804",485,"6,872"
79,1,DB,Transicion,0,0,"61,972","9,347","4,627","4,877",465,"6,462"
80,1,DB,Transicion,0,0,"54,178","9,113","3,970","4,789",439,"6,982"
81,1,DB,Transicion,0,0,"50,179","8,376","3,652","4,539",388,"6,500"
82,1,DB,Transicion,0,0,"44,213","8,225","3,382","4,441",314,"5,727"
83,1,DB,Transicion,0,0,"38,508","7,986","2,844","4,170",334,"6,329"
84,1,DB,Transicion,0,0,"34,623","7,625","2,430","4,128",233,"6,989"
85,1,DB,Transicion,0,0,"31,260","7,447","2,246","4,151",276,"6,059"
86,1,DB,Transicion,0,0,"26,874","7,294","1,861","3,779",266,"6,211"
87,1,DB,Transicion,0,0,"21,871","7,204","1,547","4,035",184,"5,755"
88,1,DB,Transicion,0,0,"18,193","7,064","1,202","3,641",176,"5,994"
89,1,DB,Transicion,0,0,"15,190","6,926",991,"3,959",140,"5,974"
90,1,DB,Transicion,0,0,"12,217","6,666",818,"3,837",141,"5,775"
91,1,DB,Transicion,0,0,"10,949","6,635",691,"3,839",112,"5,719"
92,1,DB,Transicion,0,0,"8,392","6,481",514,"3,896",83,"4,778"
93,1,DB,Transicion,0,0,"5,863","6,385",372,"3,792",47,"5,271"
94,1,DB,Transicion,0,0,"4,703","6,356",251,"3,643",59,"4,499"
95,1,DB,Transicion,0,0,"3,558","5,972",172,"4,103",34,"5,391"
96,1,DB,Transicion,0,0,"2,804","5,536",133,"3,105",35,"5,122"
97,1,DB,Transicion,0,0,"1,996","5,524",86,"3,279",29,"4,589"
98,1,DB,Transicion,0,0,"1,712","5,412",51,"3,208",16,"5,806"
99,1,DB,Transicion,0,0,"1,118","5,446",45,"3,004",6,"4,292"
100,1,DB,Transicion,0,0,619,"5,792",27,"3,065",3,"4,130"
101,1,DB,Transicion,0,0,421,"4,990",17,"2,651",1,"3,972"
102,1,DB,Transicion,0,0,232,"4,701",5,"2,470",6,"3,932"
103,1,DB,Transicion,0,0,118,"4,473",8,"2,805",5,"4,105"
104,1,DB,Transicion,0,0,86,"5,833",2,"2,145",5,"4,054"
105,1,DB,Transicion,0,0,37,"4,434",2,"4,172",3,"4,130"
106,1,DB,Transicion,0,0,35,"4,413",0,0,0,0
107,1,DB,Transicion,0,0,11,"4,413",0,0,0,0
