age,variable,sex,y2024,
14,wage_baseline,male,"5,921",
15,wage_baseline,male,"5,921",
16,wage_baseline,male,"5,921",
17,wage_baseline,male,"5,811",
18,wage_baseline,male,"5,990",
19,wage_baseline,male,"6,718",
20,wage_baseline,male,"6,848",
21,wage_baseline,male,"7,389",
22,wage_baseline,male,"7,773",
23,wage_baseline,male,"8,339",
24,wage_baseline,male,"9,113",
25,wage_baseline,male,"9,770",
26,wage_baseline,male,"10,541",
27,wage_baseline,male,"11,180",
28,wage_baseline,male,"11,788",
29,wage_baseline,male,"12,452",
30,wage_baseline,male,"13,612",
31,wage_baseline,male,"13,431",
32,wage_baseline,male,"14,351",
33,wage_baseline,male,"14,559",
34,wage_baseline,male,"14,751",
35,wage_baseline,male,"14,878",
36,wage_baseline,male,"15,108",
37,wage_baseline,male,"15,764",
38,wage_baseline,male,"15,840",
39,wage_baseline,male,"16,409",
40,wage_baseline,male,"16,102",
41,wage_baseline,male,"16,248",
42,wage_baseline,male,"15,607",
43,wage_baseline,male,"15,889",
44,wage_baseline,male,"15,410",
45,wage_baseline,male,"16,513",
46,wage_baseline,male,"15,717",
47,wage_baseline,male,"15,715",
48,wage_baseline,male,"15,560",
49,wage_baseline,male,"16,195",
50,wage_baseline,male,"16,143",
51,wage_baseline,male,"16,022",
52,wage_baseline,male,"15,664",
53,wage_baseline,male,"16,277",
54,wage_baseline,male,"15,886",
55,wage_baseline,male,"15,740",
56,wage_baseline,male,"17,080",
57,wage_baseline,male,"18,889",
58,wage_baseline,male,"18,148",
59,wage_baseline,male,"19,800",
60,wage_baseline,male,"20,792",
61,wage_baseline,male,"20,238",
62,wage_baseline,male,"19,970",
63,wage_baseline,male,"18,001",
64,wage_baseline,male,"18,030",
65,wage_baseline,male,"15,393",
66,wage_baseline,male,"15,288",
67,wage_baseline,male,"16,106",
68,wage_baseline,male,"15,361",
69,wage_baseline,male,"15,325",
70,wage_baseline,male,"15,298",
71,wage_baseline,male,"15,165",
72,wage_baseline,male,"15,214",
73,wage_baseline,male,"15,798",
74,wage_baseline,male,"15,427",
75,wage_baseline,male,"15,427",
76,wage_baseline,male,"15,427",
77,wage_baseline,male,"15,427",
78,wage_baseline,male,"15,427",
79,wage_baseline,male,"15,427",
80,wage_baseline,male,"15,427",
81,wage_baseline,male,"15,427",
82,wage_baseline,male,"15,427",
83,wage_baseline,male,"15,427",
84,wage_baseline,male,"15,427",
85,wage_baseline,male,"15,427",
86,wage_baseline,male,"15,427",
87,wage_baseline,male,"15,427",
88,wage_baseline,male,"15,427",
89,wage_baseline,male,"15,427",
90,wage_baseline,male,"15,427",
91,wage_baseline,male,"15,427",
92,wage_baseline,male,"15,427",
93,wage_baseline,male,"15,427",
94,wage_baseline,male,"15,427",
95,wage_baseline,male,"15,427",
96,wage_baseline,male,"15,427",
97,wage_baseline,male,"15,427",
98,wage_baseline,male,"15,427",
99,wage_baseline,male,"15,427",
100,wage_baseline,male,"15,427",
101,wage_baseline,male,"15,427",
102,wage_baseline,male,"15,427",
103,wage_baseline,male,"15,427",
104,wage_baseline,male,"15,427",
105,wage_baseline,male,"15,427",
106,wage_baseline,male,"15,427",
107,wage_baseline,male,"15,427",
108,wage_baseline,male,"15,427",
109,wage_baseline,male,"15,427",
110,wage_baseline,male,"15,427",
14,wage_baseline,female,"5,671",
15,wage_baseline,female,"5,671",
16,wage_baseline,female,"5,671",
17,wage_baseline,female,"5,760",
18,wage_baseline,female,"5,830",
19,wage_baseline,female,"6,266",
20,wage_baseline,female,"6,368",
21,wage_baseline,female,"6,872",
22,wage_baseline,female,"7,158",
23,wage_baseline,female,"7,763",
24,wage_baseline,female,"8,219",
25,wage_baseline,female,"8,825",
26,wage_baseline,female,"9,831",
27,wage_baseline,female,"10,689",
28,wage_baseline,female,"11,312",
29,wage_baseline,female,"11,782",
30,wage_baseline,female,"12,353",
31,wage_baseline,female,"12,082",
32,wage_baseline,female,"12,968",
33,wage_baseline,female,"13,486",
34,wage_baseline,female,"13,166",
35,wage_baseline,female,"13,883",
36,wage_baseline,female,"13,201",
37,wage_baseline,female,"14,268",
38,wage_baseline,female,"13,577",
39,wage_baseline,female,"13,615",
40,wage_baseline,female,"12,782",
41,wage_baseline,female,"13,169",
42,wage_baseline,female,"12,583",
43,wage_baseline,female,"12,871",
44,wage_baseline,female,"13,079",
45,wage_baseline,female,"12,900",
46,wage_baseline,female,"12,833",
47,wage_baseline,female,"12,913",
48,wage_baseline,female,"12,767",
49,wage_baseline,female,"12,882",
50,wage_baseline,female,"13,289",
51,wage_baseline,female,"12,151",
