year,gender,wage_decile,dens,samplesize,num_affiliates,num_contributors,num_inactive,num_new_affiliates,num_exiters,num_reentrants,retired,disabled,widowed,deceased,avg_age,los,loa,wage,contribution_density,population_total,working_age_total,target_employment_rate,employment_rate,target_turnover_rate,turnover_rate
2025,Total,Total,Total,430100,428363.3333333419,181119.9999999996,247243.3333333301,13230,63820,62930,4200,0,0,1810,40.228088,91.792259,190.65347,12253.913,.49979949,131413615.1097549,88461846,41.518623,42.281864,2.4314499,2.4657805
2026,Total,Total,Total,437340,435485.8333333435,187594.999999999,247890.8333333297,13250,65020,59430,2810,0,0,1970,40.508553,92.39756,195.73215,12490.302,.49207446,132480184.71875,89369600.84375,41.518623,43.077175,2.4314499,2.3814399
2027,Total,Total,Total,445850,444015.8333333429,191246.6666666662,252769.166666663,13290,66520,60670,3150,0,0,1660,40.881214,93.588448,201.05399,12771.051,.48614693,133515130.1240234,90246254.125,41.518623,43.072037,2.4314499,2.3871145
2028,Total,Total,Total,454370,452455.0000000097,195919.9999999983,256534.9999999975,13330,67690,62400,3570,0,0,2040,41.235493,94.701782,206.26239,13050.973,.48095131,134520286.0039063,91094965,41.518623,43.301544,2.4314499,2.3960025
2029,Total,Total,Total,462140,460071.666666677,199158.3333333333,260913.3333333297,13380,68670,62040,4010,0,0,2170,41.58411,95.628204,211.19617,13371.634,.47572955,135497108,91908632.09375,41.518623,43.288548,2.4314499,2.3675659
2030,Total,Total,Total,469370,467298.3333333447,202536.666666667,264761.666666662,13410,70790,63920,4960,0,0,1940,41.902401,96.293945,215.86441,13707.412,.47097826,136444673.875,92645169.9375,41.518623,43.342049,2.4314499,2.4022841
2031,Total,Total,Total,475920,473980.8333333427,203019.9999999998,270960.8333333306,13450,72350,65410,4720,0,0,1840,42.203732,96.58123,220.20621,13973.569,.46574426,137364801.8671875,93290549.9375,41.518623,42.832954,2.4314499,2.4220388
2032,Total,Total,Total,482830,480705.8333333445,205584.1666666662,275121.6666666634,13470,70650,65110,5570,0,0,1980,42.518444,96.931633,224.53273,14421.825,.46073222,138257327.28125,93868026.1875,41.518623,42.767147,2.4314499,2.3534837
2033,Total,Total,Total,488730,486580.0000000119,208634.1666666666,277945.8333333301,13450,74090,67800,5340,0,0,2130,42.81094,96.939636,228.49307,14821.874,.45623192,139123060.03125,94379840,41.518623,42.87767,2.4314499,2.4300561
2034,Total,Total,Total,494630,492354.1666666778,210563.3333333319,281790.8333333297,13370,74010,69460,5840,0,0,2160,43.116066,97.126724,232.49022,15226.305,.45240998,139961111.0625,94861060.125,41.518623,42.76664,2.4314499,2.4282994
2035,Total,Total,Total,499910,497535.0000000109,213981.6666666653,283553.3333333295,13280,72610,68890,5810,0,0,2100,43.403152,97.148407,236.3121,15687.125,.44830978,140762942.1210938,95312542.0625,41.518623,43.008366,2.4314499,2.3700175
2036,Total,Total,Total,505170,502824.166666677,215842.5000000005,286981.6666666638,13170,74280,68440,5520,0,0,2340,43.686916,97.352097,240.16901,16156.436,.44476438,141538695.96875,95716692.9375,41.518623,42.926041,2.4314499,2.3653066
2037,Total,Total,Total,510400,507992.5000000104,218713.3333333336,289279.166666666,13090,75700,70210,5940,0,0,2480,44.000568,97.807838,243.98926,16740.871,.44307676,142279629.875,96075093.875,41.518623,43.05444,2.4314499,2.3935721
2038,Total,Total,Total,515010,512491.6666666779,219030.0000000005,293461.6666666651,13030,76400,69730,6460,0,0,2260,44.292286,98.053764,247.61725,17184.146,.43981943,142995462.03125,96387656,41.518623,42.738255,2.4314499,2.3761363
2039,Total,Total,Total,519250,516626.6666666768,221314.1666666664,295312.4999999966,12960,76310,73140,6640,0,0,2720,44.587269,98.132324,251.0536,17774.125,.43725976,143676976.7530017,96651958.75,41.518623,42.838318,2.4314499,2.4106705
2040,Total,Total,Total,522770,520053.3333333432,222615.8333333326,297437.4999999955,12880,77210,71010,6340,0,0,2480,44.854698,98.242668,254.33104,18317.529,.43491769,144319606.8125,96887517.8125,41.518623,42.806347,2.4314499,2.375077
2041,Total,Total,Total,526750,524001.6666666752,223751.6666666663,300249.9999999995,12800,78730,72830,6970,0,0,2590,45.14669,98.529205,257.6347,18935.852,.43297604,144929039.8085938,97103782.8125,41.518623,42.700565,2.4314499,2.4102976
2042,Total,Total,Total,529910,527047.5000000084,225366.6666666672,301680.8333333301,12720,77180,74210,7160,0,0,3050,45.419449,98.685097,260.61853,19578.898,.4308854,145506506.9072266,97296521.9375,41.518623,42.76022,2.4314499,2.3936806
2043,Total,Total,Total,532330,529388.3333333415,226395.0000000001,302993.3333333305,12630,80720,74500,7660,0,0,3110,45.680668,98.76165,263.50699,20287.324,.4290019,146048404.0664063,97454610.0625,41.518623,42.765392,2.4314499,2.4433858
2044,Total,Total,Total,534120,531095.0000000071,226044.9999999991,305049.9999999989,12560,78690,74260,7280,0,0,3000,45.921555,98.684456,266.1282,21026.166,.42716277,146551609.9216006,97580740.875,41.518623,42.562065,2.4314499,2.3999159
2045,Total,Total,Total,536330,533305.8333333387,226935.8333333328,306369.9999999988,12490,78750,74900,7760,0,0,3290,46.166409,98.808197,268.86417,21568.842,.42578062,147023823.8740234,97684123.875,41.518623,42.552662,2.4314499,2.4009051
2046,Total,Total,Total,537690,534672.5000000055,227975,306697.4999999976,12410,79680,74530,7790,0,0,3120,46.399616,98.768303,271.33832,22352.879,.42420426,147456360.0625,97763617.0625,41.518623,42.638252,2.4314499,2.4034963
2047,Total,Total,Total,539120,535985.0000000057,228539.1666666662,307445.8333333334,12340,81160,77860,8750,0,0,3010,46.632198,98.729576,273.81314,23199.855,.4229348,147851959.03125,97800924,41.518623,42.639099,2.4314499,2.4723949
2048,Total,Total,Total,539630,536342.500000005,229114.9999999999,307227.4999999991,12270,78980,75080,8630,0,0,3280,46.843857,98.419952,275.90878,24114.785,.42120421,148208331.71875,97795592.75,41.518623,42.71804,2.4314499,2.393682
2049,Total,Total,Total,539920,536636.6666666721,229627.4999999996,307009.1666666658,12200,80610,76510,8490,0,0,3120,47.03717,98.191269,277.89594,24853.52,.41985393,148536131.0625,97776317.0625,41.518623,42.790127,2.4314499,2.439888
2050,Total,Total,Total,540450,537021.666666672,228699.9999999991,308321.6666666667,12140,80950,76260,8430,0,0,3610,47.247349,98.081505,279.92398,25818.039,.41857192,148819664.140625,97708776.125,41.518623,42.586735,2.4314499,2.4395354
2051,Total,Total,Total,540490,536981.6666666736,228639.9999999992,308341.6666666691,12080,78950,75290,8080,0,0,3520,47.433014,98.026253,281.85269,26847.721,.41748589,149072882.8164063,97606797.8125,41.518623,42.578735,2.4314499,2.3936262
2052,Total,Total,Total,540910,537390.8333333408,229329.1666666666,308061.6666666672,12020,80740,77560,8490,0,0,3470,47.631046,98.138374,283.8454,27895.494,.4168191,149290810.3125,97462982.3125,41.518623,42.674561,2.4314499,2.4547622
2053,Total,Total,Total,540910,537312.5000000065,228823.3333333329,308489.1666666659,11960,82410,76190,8310,0,0,3670,47.82901,98.066849,285.62109,28997.146,.41594183,149476719.1796875,97289990.1875,41.518623,42.586639,2.4314499,2.4597728
2054,Total,Total,Total,540830,537185.0000000071,228190.0000000008,308995.000000001,11900,79380,76170,8360,0,0,3440,47.984634,98.219238,287.26828,30183.977,.41602013,149628697.21875,97087396.25,41.518623,42.478848,2.4314499,2.4130421
2055,Total,Total,Total,540860,537161.666666673,227860.8333333321,309300.8333333313,11830,81530,77540,8040,0,0,3960,48.146065,98.417168,288.9455,31268.105,.41562811,149749283.75,96826575.75,41.518623,42.419415,2.4314499,2.4677548
2056,Total,Total,Total,540630,536910.0000000075,228045.8333333321,308864.1666666656,11770,81690,77820,8400,0,0,3610,48.308529,98.86412,290.62582,32492.703,.41556171,149839806.25,96511086.25,41.518623,42.473755,2.4314499,2.4757409
2057,Total,Total,Total,540330,536442.5000000085,228037.5000000003,308404.9999999991,11710,79050,74720,8650,0,0,4000,48.452389,99.123108,292.12134,34042.293,.4159331,149899647.875,96165683.875,41.518623,42.509216,2.4314499,2.3887308
