year,gender,age_grp,pension_class,pension_type,retired,disabled,widowed,deceased,avg_pension
2025,Male,15,DC,Disability,50,0,0,0,1094.0074
2025,Male,20,DB,Disability,10,0,0,0,598.3335
2025,Male,20,DC,Disability,1840,0,0,0,2030.5908
2025,Male,20,DC,Survivor,10,0,0,0,3387.1719
2025,Male,25,DC,Disability,5630,0,0,0,2687.936
2025,Male,25,DC,Survivor,130,0,0,0,3394.7761
2025,Male,30,DB,Disability,60,0,0,0,3098.5674
2025,Male,30,DB,Survivor,40,0,0,0,14547.963
2025,Male,30,DC,Disability,8410,0,0,20,3343.6858
2025,Male,30,DC,Survivor,400,0,0,0,3198.5808
2025,Male,35,DB,Disability,660,0,0,10,3318.3291
2025,Male,35,DB,Survivor,100,0,0,0,7932.1797
2025,Male,35,DC,Disability,12860,0,0,10,3880.114
2025,Male,35,DC,Survivor,1050,0,0,10,3831.1748
2025,Male,40,DB,Disability,7680,0,0,80,3251.3384
2025,Male,40,DB,Survivor,440,0,0,0,6573.5298
2025,Male,40,DC,Disability,10300,0,0,40,3756.0698
2025,Male,40,DC,Survivor,1490,0,0,0,3567.7905
2025,Male,45,DB,Disability,17950,0,0,130,3233.3118
2025,Male,45,DB,Survivor,1210,0,0,0,4497.895
2025,Male,45,DC,Disability,7850,0,0,80,3555.0793
2025,Male,45,DC,Survivor,1840,0,0,10,3681.8645
2025,Male,50,DB,Old-age,20,0,0,0,3093.2942
2025,Male,50,DB,Disability,25440,0,0,230,2920.0232
2025,Male,50,DB,Survivor,1710,0,0,20,4798.5513
2025,Male,50,DC,Disability,6400,0,0,40,3945.2283
2025,Male,50,DC,Survivor,2210,0,0,20,3173.6099
2025,Male,55,DB,Disability,31800,0,0,310,2690.4446
2025,Male,55,DB,Survivor,2230,0,0,20,6035.564
2025,Male,55,DC,Disability,5590,0,0,40,4115.8657
2025,Male,55,DC,Survivor,2400,0,0,10,3495.7605
2025,Male,60,DB,Old-age,474210,0,0,7580,11373.902
2025,Male,60,DB,Disability,38620,0,0,620,2608.0991
2025,Male,60,DB,Survivor,2640,0,0,50,6186.0137
2025,Male,60,DC,Old-age,730,0,0,30,3390.5735
2025,Male,60,DC,Disability,4150,0,0,50,4485.7944
2025,Male,60,DC,Survivor,2390,0,0,30,3347.3914
2025,Male,65,DB,Old-age,583340,0,0,13570,10018.352
2025,Male,65,DB,Disability,37910,0,0,910,2318.3547
2025,Male,65,DB,Survivor,2810,0,0,30,5491.4839
2025,Male,65,DC,Old-age,4670,0,0,60,3384.4211
2025,Male,65,DC,Disability,2240,0,0,10,4324.3965
2025,Male,65,DC,Survivor,2140,0,0,30,2862.7297
2025,Male,70,DB,Old-age,456030,0,0,16500,8283.4111
2025,Male,70,DB,Disability,33240,0,0,1160,1945.2798
2025,Male,70,DB,Survivor,2580,0,0,80,5591.2554
2025,Male,70,DC,Old-age,5800,0,0,190,3380.437
2025,Male,70,DC,Disability,1350,0,0,40,4550.3887
2025,Male,70,DC,Survivor,1570,0,0,60,2975.5288
2025,Male,75,DB,Old-age,295760,0,0,16500,6803.1172
2025,Male,75,DB,Disability,23970,0,0,1460,1744.9419
2025,Male,75,DB,Survivor,1940,0,0,130,4564.3052
2025,Male,75,DC,Old-age,3720,0,0,100,3394.3389
2025,Male,75,DC,Disability,820,0,0,70,4173.8291
2025,Male,75,DC,Survivor,930,0,0,40,3584.9102
2025,Male,80,DB,Old-age,174320,0,0,14970,5487.8916
2025,Male,80,DB,Disability,14140,0,0,1210,1415.7561
2025,Male,80,DB,Survivor,1300,0,0,150,4420.5146
2025,Male,80,DC,Old-age,1640,0,0,110,3376.6584
2025,Male,80,DC,Disability,420,0,0,30,3298.9795
2025,Male,80,DC,Survivor,630,0,0,90,2873.4165
2025,Male,85,DB,Old-age,79020,0,0,11240,5044.667
2025,Male,85,DB,Disability,5640,0,0,710,1336.7601
2025,Male,85,DB,Survivor,670,0,0,140,3542.7969
2025,Male,85,DC,Old-age,220,0,0,60,3373.2449
2025,Male,85,DC,Disability,150,0,0,10,2910.282
2025,Male,85,DC,Survivor,310,0,0,20,3155.541
2025,Male,90,DB,Old-age,26440,0,0,5750,4334.5771
2025,Male,90,DB,Disability,1670,0,0,370,1364.4362
2025,Male,90,DB,Survivor,250,0,0,80,2973.0549
2025,Male,90,DC,Old-age,30,0,0,10,3393.6545
2025,Male,90,DC,Disability,30,0,0,10,2861.085
2025,Male,90,DC,Survivor,130,0,0,60,2472.0576
2025,Male,95,DB,Old-age,5710,0,0,2160,3758.1384
2025,Male,95,DB,Disability,250,0,0,120,1049.3257
2025,Male,95,DB,Survivor,100,0,0,0,3425.614
2025,Male,95,DC,Disability,20,0,0,0,2425.0049
2025,Male,95,DC,Survivor,10,0,0,10,2425.0049
2025,Male,100,DB,Old-age,300,0,0,680,3142.5049
2025,Male,100,DB,Disability,20,0,0,30,1098.1246
2025,Male,100,DC,Survivor,0,0,0,10,
2025,Male,105,DB,Old-age,0,0,0,50,
2025,Male,105,DB,Disability,0,0,0,10,
2025,Male,105,DC,Survivor,0,0,0,40,
2025,Female,0,DB,Survivor,10,0,0,0,5810.873
2025,Female,15,DC,Disability,10,0,0,0,613.41345
2025,Female,15,DC,Survivor,20,0,0,0,3404.5288
2025,Female,20,DB,Survivor,10,0,0,0,21359.377
2025,Female,20,DC,Disability,320,0,0,0,1722.3221
2025,Female,20,DC,Survivor,1310,0,0,0,3660.9858
2025,Female,25,DB,Survivor,450,0,0,0,5226.5239
2025,Female,25,DC,Disability,600,0,0,0,2107.2544
2025,Female,25,DC,Survivor,6740,0,0,20,3554.7969
2025,Female,30,DB,Disability,10,0,0,0,2262.0857
2025,Female,30,DB,Survivor,1800,0,0,0,3698.3633
2025,Female,30,DC,Disability,1320,0,0,0,2708.0583
2025,Female,30,DC,Survivor,13310,0,0,20,3585.6016
2025,Female,35,DB,Old-age,10,0,0,0,3689.6094
2025,Female,35,DB,Disability,150,0,0,0,3495.5813
2025,Female,35,DB,Survivor,7070,0,0,10,3855.7961
2025,Female,35,DC,Disability,2680,0,0,10,3107.926
2025,Female,35,DC,Survivor,19660,0,0,10,3699.0432
2025,Female,40,DB,Disability,1490,0,0,0,3180.3906
2025,Female,40,DB,Survivor,22060,0,0,30,4120.6196
2025,Female,40,DC,Disability,2220,0,0,0,2577.9819
2025,Female,40,DC,Survivor,20670,0,0,60,3755.9797
