year,gender,age_grp,pension_class,pension_type,retired,disabled,widowed,deceased,avg_pension,pension_index
2025,Male,50,1,1,48492.85,0,0,969.86,5040.0,
2025,Male,50,1,2,0,4351.92,0,87.04,4200.0,
2025,Male,50,1,3,0,0,9325.55,186.51,3600.0,
2025,Male,55,1,1,89037.29,0,0,1780.75,5040.0,
2025,Male,55,1,2,0,7990.53,0,159.81,4200.0,
2025,Male,55,1,3,0,0,17122.56,342.45,3600.0,
2025,Male,60,1,1,137425.65,0,0,2748.51,5040.0,
2025,Male,60,1,2,0,12333.07,0,246.66,4200.0,
2025,Male,60,1,3,0,0,26428.01,528.56,3600.0,
2025,Male,65,1,1,178305.74,0,0,3566.11,5040.0,
2025,Male,65,1,2,0,16001.8,0,320.04,4200.0,
2025,Male,65,1,3,0,0,34289.56,685.79,3600.0,
2025,Male,70,1,1,194475.32,0,0,3889.51,5040.0,
2025,Male,70,1,2,0,17452.91,0,349.06,4200.0,
2025,Male,70,1,3,0,0,37399.1,747.98,3600.0,
2025,Male,75,1,1,178305.74,0,0,3566.11,5040.0,
2025,Male,75,1,2,0,16001.8,0,320.04,4200.0,
2025,Male,75,1,3,0,0,34289.56,685.79,3600.0,
2025,Male,80,1,1,137425.65,0,0,2748.51,5040.0,
2025,Male,80,1,2,0,12333.07,0,246.66,4200.0,
2025,Male,80,1,3,0,0,26428.01,528.56,3600.0,
2025,Male,85,1,1,89037.29,0,0,1780.75,5040.0,
2025,Male,85,1,2,0,7990.53,0,159.81,4200.0,
2025,Male,85,1,3,0,0,17122.56,342.45,3600.0,
2025,Male,90,1,1,48492.85,0,0,969.86,5040.0,
2025,Male,90,1,2,0,4351.92,0,87.04,4200.0,
2025,Male,90,1,3,0,0,9325.55,186.51,3600.0,
2025,Male,95,1,1,22201.64,0,0,444.03,5040.0,
2025,Male,95,1,2,0,1992.46,0,39.85,4200.0,
2025,Male,95,1,3,0,0,4269.55,85.39,3600.0,
2025,Female,50,1,1,52533.92,0,0,1050.68,5040.0,
2025,Female,50,1,2,0,4714.58,0,94.29,4200.0,
2025,Female,50,1,3,0,0,10102.68,202.05,3600.0,
2025,Female,55,1,1,96457.06,0,0,1929.14,5040.0,
2025,Female,55,1,2,0,8656.4,0,173.13,4200.0,
2025,Female,55,1,3,0,0,18549.43,370.99,3600.0,
2025,Female,60,1,1,148877.78,0,0,2977.56,5040.0,
2025,Female,60,1,2,0,13360.83,0,267.22,4200.0,
2025,Female,60,1,3,0,0,28630.34,572.61,3600.0,
2025,Female,65,1,1,193164.55,0,0,3863.29,5040.0,
2025,Female,65,1,2,0,17335.28,0,346.71,4200.0,
2025,Female,65,1,3,0,0,37147.03,742.94,3600.0,
2025,Female,70,1,1,210681.59,0,0,4213.63,5040.0,
2025,Female,70,1,2,0,18907.32,0,378.15,4200.0,
2025,Female,70,1,3,0,0,40515.69,810.31,3600.0,
2025,Female,75,1,1,193164.55,0,0,3863.29,5040.0,
2025,Female,75,1,2,0,17335.28,0,346.71,4200.0,
2025,Female,75,1,3,0,0,37147.03,742.94,3600.0,
2025,Female,80,1,1,148877.78,0,0,2977.56,5040.0,
2025,Female,80,1,2,0,13360.83,0,267.22,4200.0,
2025,Female,80,1,3,0,0,28630.34,572.61,3600.0,
2025,Female,85,1,1,96457.06,0,0,1929.14,5040.0,
2025,Female,85,1,2,0,8656.4,0,173.13,4200.0,
2025,Female,85,1,3,0,0,18549.43,370.99,3600.0,
2025,Female,90,1,1,52533.92,0,0,1050.68,5040.0,
2025,Female,90,1,2,0,4714.58,0,94.29,4200.0,
2025,Female,90,1,3,0,0,10102.68,202.05,3600.0,
2025,Female,95,1,1,24051.78,0,0,481.04,5040.0,
2025,Female,95,1,2,0,2158.49,0,43.17,4200.0,
2025,Female,95,1,3,0,0,4625.34,92.51,3600.0,
2026,Male,50,1,1,49947.64,0,0,998.95,5216.4,
2026,Male,50,1,2,0,4482.48,0,89.65,4347.0,
2026,Male,50,1,3,0,0,9605.31,192.11,3726.0,
2026,Male,55,1,1,91708.41,0,0,1834.17,5216.4,
2026,Male,55,1,2,0,8230.24,0,164.6,4347.0,
2026,Male,55,1,3,0,0,17636.23,352.72,3726.0,
2026,Male,60,1,1,141548.42,0,0,2830.97,5216.4,
2026,Male,60,1,2,0,12703.06,0,254.06,4347.0,
2026,Male,60,1,3,0,0,27220.85,544.42,3726.0,
2026,Male,65,1,1,183654.91,0,0,3673.1,5216.4,
2026,Male,65,1,2,0,16481.85,0,329.64,4347.0,
2026,Male,65,1,3,0,0,35318.25,706.37,3726.0,
2026,Male,70,1,1,200309.58,0,0,4006.19,5216.4,
2026,Male,70,1,2,0,17976.5,0,359.53,4347.0,
2026,Male,70,1,3,0,0,38521.07,770.42,3726.0,
2026,Male,75,1,1,183654.91,0,0,3673.1,5216.4,
2026,Male,75,1,2,0,16481.85,0,329.64,4347.0,
2026,Male,75,1,3,0,0,35318.25,706.37,3726.0,
2026,Male,80,1,1,141548.42,0,0,2830.97,5216.4,
2026,Male,80,1,2,0,12703.06,0,254.06,4347.0,
2026,Male,80,1,3,0,0,27220.85,544.42,3726.0,
2026,Male,85,1,1,91708.41,0,0,1834.17,5216.4,
2026,Male,85,1,2,0,8230.24,0,164.6,4347.0,
2026,Male,85,1,3,0,0,17636.23,352.72,3726.0,
2026,Male,90,1,1,49947.64,0,0,998.95,5216.4,
