year,gender,wage_decile,dens,samplesize,num_affiliates,num_contributors,num_inactive,num_new_affiliates,num_exiters,num_reentrants,retired,disabled,widowed,deceased,avg_age,los,loa,wage,contribution_density,population_total,working_age_total,target_employment_rate,employment_rate,target_turnover_rate,turnover_rate
2025,Male,1,Active,1447.8,1447755.3,1230592.0,217163.3,72387.8,57910.2,43432.7,0,0,0,8686.5,39.0,11.0,14.0,12000.0,0.59,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,1,Inactive,361.9,361938.8,307648.0,54290.8,18096.9,14477.6,10858.2,0,0,0,2171.6,39.0,11.0,14.0,12000.0,0.11,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,2,Active,1562.1,1562051.8,1327744.0,234307.8,78102.6,62482.1,46861.6,0,0,0,9372.3,39.0,11.0,14.0,12000.0,0.63,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,2,Inactive,390.5,390512.9,331936.0,58576.9,19525.6,15620.5,11715.4,0,0,0,2343.1,39.0,11.0,14.0,12000.0,0.12,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,3,Active,1676.3,1676348.2,1424896.0,251452.2,83817.4,67053.9,50290.4,0,0,0,10058.1,39.0,11.0,14.0,12000.0,0.67,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,3,Inactive,419.1,419087.1,356224.0,62863.1,20954.4,16763.5,12572.6,0,0,0,2514.5,39.0,11.0,14.0,12000.0,0.13,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,4,Active,1790.6,1790644.7,1522048.0,268596.7,89532.2,71625.8,53719.3,0,0,0,10743.9,39.0,11.0,14.0,12000.0,0.71,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,4,Inactive,447.7,447661.2,380512.0,67149.2,22383.1,17906.4,13429.8,0,0,0,2686.0,39.0,11.0,14.0,12000.0,0.14,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,5,Active,1904.9,1904941.2,1619200.0,285741.2,95247.1,76197.6,57148.2,0,0,0,11429.6,39.0,11.0,14.0,12000.0,0.75,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,5,Inactive,476.2,476235.3,404800.0,71435.3,23811.8,19049.4,14287.1,0,0,0,2857.4,39.0,11.0,14.0,12000.0,0.15,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,6,Active,2019.2,2019237.6,1716352.0,302885.6,100961.9,80769.5,60577.1,0,0,0,12115.4,39.0,11.0,14.0,12000.0,0.79,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,6,Inactive,504.8,504809.4,429088.0,75721.4,25240.5,20192.4,15144.3,0,0,0,3028.9,39.0,11.0,14.0,12000.0,0.16,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,7,Active,2133.5,2133534.1,1813504.0,320030.1,106676.7,85341.4,64006.0,0,0,0,12801.2,39.0,11.0,14.0,12000.0,0.83,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,7,Inactive,533.4,533383.5,453376.0,80007.5,26669.2,21335.3,16001.5,0,0,0,3200.3,39.0,11.0,14.0,12000.0,0.17,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,8,Active,2247.8,2247830.6,1910656.0,337174.6,112391.5,89913.2,67434.9,0,0,0,13487.0,39.0,11.0,14.0,12000.0,0.87,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,8,Inactive,562.0,561957.6,477664.0,84293.6,28097.9,22478.3,16858.7,0,0,0,3371.7,39.0,11.0,14.0,12000.0,0.18,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,9,Active,2362.1,2362127.1,2007808.0,354319.1,118106.4,94485.1,70863.8,0,0,0,14172.8,39.0,11.0,14.0,12000.0,0.91,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,9,Inactive,590.5,590531.8,501952.0,88579.8,29526.6,23621.3,17716.0,0,0,0,3543.2,39.0,11.0,14.0,12000.0,0.19,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,10,Active,2476.4,2476423.5,2104960.0,371463.5,123821.2,99056.9,74292.7,0,0,0,14858.5,39.0,11.0,14.0,12000.0,0.95,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Male,10,Inactive,619.1,619105.9,526240.0,92865.9,30955.3,24764.2,18573.2,0,0,0,3714.6,39.0,11.0,14.0,12000.0,0.2,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Female,1,Active,1184.5,1184527.1,1006848.0,177679.1,59226.4,47381.1,35535.8,0,0,0,7107.2,39.0,11.0,14.0,12000.0,0.59,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Female,1,Inactive,296.1,296131.8,251712.0,44419.8,14806.6,11845.3,8884.0,0,0,0,1776.8,39.0,11.0,14.0,12000.0,0.11,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Female,2,Active,1278.0,1278042.4,1086336.0,191706.4,63902.1,51121.7,38341.3,0,0,0,7668.3,39.0,11.0,14.0,12000.0,0.63,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Female,2,Inactive,319.5,319510.6,271584.0,47926.6,15975.5,12780.4,9585.3,0,0,0,1917.1,39.0,11.0,14.0,12000.0,0.12,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Female,3,Active,1371.6,1371557.6,1165824.0,205733.6,68577.9,54862.3,41146.7,0,0,0,8229.3,39.0,11.0,14.0,12000.0,0.67,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
2025,Female,3,Inactive,342.9,342889.4,291456.0,51433.4,17144.5,13715.6,10286.7,0,0,0,2057.3,39.0,11.0,14.0,12000.0,0.13,129032258.1,80000000.0,95.0,85.0,7.0,0.5833
