year,gender,age_grp,pension_class,pension_type,retired,disabled,widowed,deceased,avg_pension,pension_index
2025,Male,50,1,1,48492.85,0,0,969.86,4788.0,
2025,Male,50,1,2,0,4351.92,0,87.04,3990.0,
2025,Male,50,1,3,0,0,9325.55,186.51,3420.0,
2025,Male,55,1,1,89037.29,0,0,1780.75,4788.0,
2025,Male,55,1,2,0,7990.53,0,159.81,3990.0,
2025,Male,55,1,3,0,0,17122.56,342.45,3420.0,
2025,Male,60,1,1,137425.65,0,0,2748.51,4788.0,
2025,Male,60,1,2,0,12333.07,0,246.66,3990.0,
2025,Male,60,1,3,0,0,26428.01,528.56,3420.0,
2025,Male,65,1,1,178305.74,0,0,3566.11,4788.0,
2025,Male,65,1,2,0,16001.8,0,320.04,3990.0,
2025,Male,65,1,3,0,0,34289.56,685.79,3420.0,
2025,Male,70,1,1,194475.32,0,0,3889.51,4788.0,
2025,Male,70,1,2,0,17452.91,0,349.06,3990.0,
2025,Male,70,1,3,0,0,37399.1,747.98,3420.0,
2025,Male,75,1,1,178305.74,0,0,3566.11,4788.0,
2025,Male,75,1,2,0,16001.8,0,320.04,3990.0,
2025,Male,75,1,3,0,0,34289.56,685.79,3420.0,
2025,Male,80,1,1,137425.65,0,0,2748.51,4788.0,
2025,Male,80,1,2,0,12333.07,0,246.66,3990.0,
2025,Male,80,1,3,0,0,26428.01,528.56,3420.0,
2025,Male,85,1,1,89037.29,0,0,1780.75,4788.0,
2025,Male,85,1,2,0,7990.53,0,159.81,3990.0,
2025,Male,85,1,3,0,0,17122.56,342.45,3420.0,
2025,Male,90,1,1,48492.85,0,0,969.86,4788.0,
2025,Male,90,1,2,0,4351.92,0,87.04,3990.0,
2025,Male,90,1,3,0,0,9325.55,186.51,3420.0,
2025,Male,95,1,1,22201.64,0,0,444.03,4788.0,
2025,Male,95,1,2,0,1992.46,0,39.85,3990.0,
2025,Male,95,1,3,0,0,4269.55,85.39,3420.0,
2025,Female,50,1,1,52533.92,0,0,1050.68,4788.0,
2025,Female,50,1,2,0,4714.58,0,94.29,3990.0,
2025,Female,50,1,3,0,0,10102.68,202.05,3420.0,
2025,Female,55,1,1,96457.06,0,0,1929.14,4788.0,
2025,Female,55,1,2,0,8656.4,0,173.13,3990.0,
2025,Female,55,1,3,0,0,18549.43,370.99,3420.0,
2025,Female,60,1,1,148877.78,0,0,2977.56,4788.0,
2025,Female,60,1,2,0,13360.83,0,267.22,3990.0,
2025,Female,60,1,3,0,0,28630.34,572.61,3420.0,
2025,Female,65,1,1,193164.55,0,0,3863.29,4788.0,
2025,Female,65,1,2,0,17335.28,0,346.71,3990.0,
2025,Female,65,1,3,0,0,37147.03,742.94,3420.0,
2025,Female,70,1,1,210681.59,0,0,4213.63,4788.0,
2025,Female,70,1,2,0,18907.32,0,378.15,3990.0,
2025,Female,70,1,3,0,0,40515.69,810.31,3420.0,
2025,Female,75,1,1,193164.55,0,0,3863.29,4788.0,
2025,Female,75,1,2,0,17335.28,0,346.71,3990.0,
2025,Female,75,1,3,0,0,37147.03,742.94,3420.0,
2025,Female,80,1,1,148877.78,0,0,2977.56,4788.0,
2025,Female,80,1,2,0,13360.83,0,267.22,3990.0,
2025,Female,80,1,3,0,0,28630.34,572.61,3420.0,
2025,Female,85,1,1,96457.06,0,0,1929.14,4788.0,
2025,Female,85,1,2,0,8656.4,0,173.13,3990.0,
2025,Female,85,1,3,0,0,18549.43,370.99,3420.0,
2025,Female,90,1,1,52533.92,0,0,1050.68,4788.0,
2025,Female,90,1,2,0,4714.58,0,94.29,3990.0,
2025,Female,90,1,3,0,0,10102.68,202.05,3420.0,
2025,Female,95,1,1,24051.78,0,0,481.04,4788.0,
2025,Female,95,1,2,0,2158.49,0,43.17,3990.0,
2025,Female,95,1,3,0,0,4625.34,92.51,3420.0,
2026,Male,50,1,1,49559.69,0,0,991.19,4955.58,
2026,Male,50,1,2,0,4447.66,0,88.95,4129.65,
2026,Male,50,1,3,0,0,9530.71,190.61,3539.7,
2026,Male,55,1,1,90996.11,0,0,1819.92,4955.58,
2026,Male,55,1,2,0,8166.32,0,163.33,4129.65,
2026,Male,55,1,3,0,0,17499.25,349.99,3539.7,
2026,Male,60,1,1,140449.01,0,0,2808.98,4955.58,
2026,Male,60,1,2,0,12604.4,0,252.09,4129.65,
2026,Male,60,1,3,0,0,27009.43,540.19,3539.7,
2026,Male,65,1,1,182228.46,0,0,3644.57,4955.58,
2026,Male,65,1,2,0,16353.84,0,327.08,4129.65,
2026,Male,65,1,3,0,0,35043.93,700.88,3539.7,
2026,Male,70,1,1,198753.77,0,0,3975.08,4955.58,
2026,Male,70,1,2,0,17836.88,0,356.74,4129.65,
2026,Male,70,1,3,0,0,38221.88,764.44,3539.7,
2026,Male,75,1,1,182228.46,0,0,3644.57,4955.58,
2026,Male,75,1,2,0,16353.84,0,327.08,4129.65,
2026,Male,75,1,3,0,0,35043.93,700.88,3539.7,
2026,Male,80,1,1,140449.01,0,0,2808.98,4955.58,
2026,Male,80,1,2,0,12604.4,0,252.09,4129.65,
2026,Male,80,1,3,0,0,27009.43,540.19,3539.7,
2026,Male,85,1,1,90996.11,0,0,1819.92,4955.58,
2026,Male,85,1,2,0,8166.32,0,163.33,4129.65,
2026,Male,85,1,3,0,0,17499.25,349.99,3539.7,
2026,Male,90,1,1,49559.69,0,0,991.19,4955.58,
2026,Male,90,1,2,0,4447.66,0,88.95,4129.65,
2026,Male,90,1,3,0,0,9530.71,190.61,3539.7,
2026,Male,95,1,1,22690.08,0,0,453.8,4955.58,
2026,Male,95,1,2,0,2036.29,0,40.73,4129.65,
2026,Male,95,1,3,0,0,4363.48,87.27,3539.7,
2026,Female,50,1,1,53689.67,0,0,1073.79,4955.58,
2026,Female,50,1,2,0,4818.3,0,96.37,4129.65,
2026,Female,50,1,3,0,0,10324.94,206.5,3539.7,
2026,Female,55,1,1,98579.12,0,0,1971.58,4955.58,
2026,Female,55,1,2,0,8846.84,0,176.94,4129.65,
2026,Female,55,1,3,0,0,18957.52,379.15,3539.7,
2026,Female,60,1,1,152153.1,0,0,3043.06,4955.58,
