year,gender,age_grp,pension_class,pension_type,retired,disabled,widowed,deceased,avg_pension,pension_index
2025,Total,Total,Total,Total,2340000.0,210000.0,450000.0,75000.0,4526.94,0.03
2026,Total,Total,Total,Total,2391480.0,214620.0,459900.0,76650.0,4685.38,0.03
2027,Total,Total,Total,Total,2444092.6,219341.6,470017.8,78336.3,4849.37,0.03
2028,Total,Total,Total,Total,2497862.6,224167.2,480358.2,80059.7,5019.1,0.03
2029,Total,Total,Total,Total,2552815.6,229098.8,490926.1,81821.0,5194.77,0.03
2030,Total,Total,Total,Total,2608977.5,234139.0,501726.4,83621.1,5376.58,0.03
2031,Total,Total,Total,Total,2666375.0,239290.1,512764.4,85460.7,5564.77,0.03
2032,Total,Total,Total,Total,2725035.3,244554.4,524045.2,87340.9,5759.53,0.03
2033,Total,Total,Total,Total,2784986.0,249934.6,535574.2,89262.4,5961.12,0.03
2034,Total,Total,Total,Total,2846255.7,255433.2,547356.9,91226.1,6169.75,0.03
2035,Total,Total,Total,Total,2908873.4,261052.7,559398.7,93233.1,6385.7,0.03
2036,Total,Total,Total,Total,2972868.6,266795.9,571705.5,95284.2,6609.2,0.03
2037,Total,Total,Total,Total,3038271.7,272665.4,584283.0,97380.5,6840.52,0.03
2038,Total,Total,Total,Total,3105113.7,278664.0,597137.2,99522.9,7079.94,0.03
2039,Total,Total,Total,Total,3173426.2,284794.7,610274.3,101712.4,7327.73,0.03
2040,Total,Total,Total,Total,3243241.5,291060.1,623700.3,103950.0,7584.2,0.03
2041,Total,Total,Total,Total,3314592.9,297463.5,637421.7,106237.0,7849.65,0.03
2042,Total,Total,Total,Total,3387513.9,304007.7,651445.0,108574.2,8124.39,0.03
2043,Total,Total,Total,Total,3462039.2,310695.8,665776.8,110962.8,8408.74,0.03
2044,Total,Total,Total,Total,3538204.1,317531.1,680423.9,113404.0,8703.05,0.03
2045,Total,Total,Total,Total,3616044.6,324516.8,695393.2,115898.9,9007.65,0.03
2046,Total,Total,Total,Total,3695597.5,331656.2,710691.8,118448.6,9322.92,0.03
2047,Total,Total,Total,Total,3776900.7,338952.6,726327.1,121054.5,9649.23,0.03
2048,Total,Total,Total,Total,3859992.5,346409.6,742306.2,123717.7,9986.95,0.03
2049,Total,Total,Total,Total,3944912.3,354030.6,758637.0,126439.5,10336.49,0.03
2050,Total,Total,Total,Total,4031700.4,361819.3,775327.0,129221.2,10698.27,0.03
2051,Total,Total,Total,Total,4120397.8,369779.3,792384.2,132064.0,11072.71,0.03
2052,Total,Total,Total,Total,4211046.6,377914.4,809816.6,134969.4,11460.25,0.03
2053,Total,Total,Total,Total,4303689.6,386228.6,827632.6,137938.8,11861.36,0.03
2054,Total,Total,Total,Total,4398370.8,394725.6,845840.5,140973.4,12276.51,0.03
2055,Total,Total,Total,Total,4495134.9,403409.5,864449.0,144074.8,12706.19,0.03
2056,Total,Total,Total,Total,4594027.9,412284.6,883466.9,147244.5,13150.9,0.03
2057,Total,Total,Total,Total,4695096.5,421354.8,902903.2,150483.9,13611.18,0.03
2058,Total,Total,Total,Total,4798388.6,430624.6,922767.0,153794.5,14087.58,0.03
2059,Total,Total,Total,Total,4903953.2,440098.4,943067.9,157178.0,14580.64,0.03
2060,Total,Total,Total,Total,5011840.1,449780.5,963815.4,160635.9,15090.96,0.03
2061,Total,Total,Total,Total,5122100.6,459675.7,985019.4,164169.9,15619.15,0.03
2062,Total,Total,Total,Total,5234786.8,469788.6,1006689.8,167781.6,16165.82,0.03
2063,Total,Total,Total,Total,5349952.2,480123.9,1028837.0,171472.8,16731.62,0.03
2064,Total,Total,Total,Total,5467651.1,490686.6,1051471.4,175245.2,17317.23,0.03
2065,Total,Total,Total,Total,5587939.4,501481.7,1074603.7,179100.6,17923.33,0.03
2066,Total,Total,Total,Total,5710874.1,512514.3,1098245.0,183040.8,18550.65,0.03
2067,Total,Total,Total,Total,5836513.3,523789.7,1122406.4,187067.7,19199.92,0.03
2068,Total,Total,Total,Total,5964916.6,535313.0,1147099.3,191183.2,19871.92,0.03
2069,Total,Total,Total,Total,6096144.8,547089.9,1172335.5,195389.3,20567.43,0.03
2070,Total,Total,Total,Total,6230260.0,559125.9,1198126.9,199687.8,21287.3,0.03
2071,Total,Total,Total,Total,6367325.7,571426.7,1224485.7,204081.0,22032.35,0.03
2072,Total,Total,Total,Total,6507406.8,583998.1,1251424.4,208570.7,22803.48,0.03
2073,Total,Total,Total,Total,6650569.8,596846.0,1278955.7,213159.3,23601.6,0.03
2074,Total,Total,Total,Total,6796882.3,609976.6,1307092.8,217848.8,24427.66,0.03
2075,Total,Total,Total,Total,6946413.7,623396.1,1335848.8,222641.5,25282.63,0.03
